time, timezone, temperature, strength
2021/02/16 10:38 +0100, GMT+01, 11, 
2021/02/16 10:39 +0100, GMT+01, 10.4, 
2021/02/16 10:59 +0100, GMT+01, 9.1, 
2021/02/16 11:19 +0100, GMT+01, 8.9, 
2021/02/16 11:39 +0100, GMT+01, 9.1, 
2021/02/16 11:59 +0100, GMT+01, 9.5, 
2021/02/16 12:19 +0100, GMT+01, 9.8, 
2021/02/16 12:39 +0100, GMT+01, 10.3, 
2021/02/16 12:59 +0100, GMT+01, 10.5, 
2021/02/16 13:19 +0100, GMT+01, 12, 
2021/02/16 13:39 +0100, GMT+01, 12.1, 0
2021/02/16 13:59 +0100, GMT+01, 12.2, 0
2021/02/16 14:19 +0100, GMT+01, 12.3, 0.00016
2021/02/16 14:39 +0100, GMT+01, 12.3, 0.00112
2021/02/16 14:59 +0100, GMT+01, 12.4, 0.00378
2021/02/16 15:19 +0100, GMT+01, 12.4, 0.00893
2021/02/16 15:39 +0100, GMT+01, 12.5, 0.01715
2021/02/16 15:59 +0100, GMT+01, 12.5, 0.02884
2021/02/16 16:19 +0100, GMT+01, 12.5, 0.04419
2021/02/16 16:39 +0100, GMT+01, 12.5, 0.06329
2021/02/16 16:59 +0100, GMT+01, 12.5, 0.08613
2021/02/16 17:19 +0100, GMT+01, 12.6, 0.11278
2021/02/16 17:39 +0100, GMT+01, 12.6, 0.14316
2021/02/16 17:59 +0100, GMT+01, 12.6, 0.17709
2021/02/16 18:19 +0100, GMT+01, 12.6, 0.21444
2021/02/16 18:39 +0100, GMT+01, 12.7, 0.25518
2021/02/16 18:59 +0100, GMT+01, 12.7, 0.2992
2021/02/16 19:19 +0100, GMT+01, 12.8, 0.34639
2021/02/16 19:39 +0100, GMT+01, 12.8, 0.39664
2021/02/16 19:59 +0100, GMT+01, 12.8, 0.44962
2021/02/16 20:19 +0100, GMT+01, 12.9, 0.5054
2021/02/16 20:39 +0100, GMT+01, 13, 0.56407
2021/02/16 20:59 +0100, GMT+01, 13, 0.62533
2021/02/16 21:19 +0100, GMT+01, 13.1, 0.68906
2021/02/16 21:39 +0100, GMT+01, 13.1, 0.75517
2021/02/16 21:59 +0100, GMT+01, 13.2, 0.82355
2021/02/16 22:19 +0100, GMT+01, 13.3, 0.89436
2021/02/16 22:39 +0100, GMT+01, 13.3, 0.96728
2021/02/16 22:59 +0100, GMT+01, 13.3, 1.04194
2021/02/16 23:19 +0100, GMT+01, 13.5, 1.11879
2021/02/16 23:39 +0100, GMT+01, 13.5, 1.19775
2021/02/16 23:59 +0100, GMT+01, 13.6, 1.2785
2021/02/17 00:19 +0100, GMT+01, 13.6, 1.36095
2021/02/17 00:39 +0100, GMT+01, 13.7, 1.44511
