time, timezone, temperature, strength
2021/03/19 08:52 +0100, GMT+01, 8.4, 
2021/03/19 09:12 +0100, GMT+01, 10.5, 
2021/03/19 09:32 +0100, GMT+01, 9.6, 0
2021/03/19 09:52 +0100, GMT+01, 15.6, 0
2021/03/19 10:12 +0100, GMT+01, 15.8, 0.00032
2021/03/19 10:32 +0100, GMT+01, 16, 0.00235
2021/03/19 10:52 +0100, GMT+01, 16.2, 0.0079
2021/03/19 11:12 +0100, GMT+01, 16.7, 0.01856
2021/03/19 11:32 +0100, GMT+01, 17.1, 0.03562
2021/03/19 11:52 +0100, GMT+01, 17.7, 0.06008
2021/03/19 12:12 +0100, GMT+01, 18.1, 0.09268
2021/03/19 12:32 +0100, GMT+01, 18.6, 0.13379
2021/03/19 12:52 +0100, GMT+01, 19, 0.18372
2021/03/19 13:12 +0100, GMT+01, 19.5, 0.24263
2021/03/19 13:32 +0100, GMT+01, 20, 0.31082
2021/03/19 13:52 +0100, GMT+01, 20.6, 0.38858
2021/03/19 14:12 +0100, GMT+01, 21.1, 0.47602
2021/03/19 14:32 +0100, GMT+01, 21.7, 0.57316
2021/03/19 14:52 +0100, GMT+01, 22.3, 0.68032
2021/03/19 15:12 +0100, GMT+01, 22.8, 0.79721
2021/03/19 15:32 +0100, GMT+01, 23.2, 0.92311
2021/03/19 15:52 +0100, GMT+01, 23.5, 1.05726
2021/03/19 16:12 +0100, GMT+01, 24.1, 1.19988
2021/03/19 16:32 +0100, GMT+01, 24.8, 1.35242
2021/03/19 16:52 +0100, GMT+01, 25.3, 1.51447
2021/03/19 17:12 +0100, GMT+01, 25.6, 1.6843
2021/03/19 17:32 +0100, GMT+01, 25.7, 1.85994
2021/03/19 17:52 +0100, GMT+01, 25.8, 2.04015
2021/03/19 18:12 +0100, GMT+01, 25.8, 2.22411
2021/03/19 18:32 +0100, GMT+01, 25.7, 2.41054
2021/03/19 18:52 +0100, GMT+01, 25.5, 2.59814
2021/03/19 19:12 +0100, GMT+01, 25.3, 2.78612
2021/03/19 19:32 +0100, GMT+01, 25, 2.97369
2021/03/19 19:52 +0100, GMT+01, 24.7, 3.16011
2021/03/19 20:12 +0100, GMT+01, 24.5, 3.34558
2021/03/19 20:32 +0100, GMT+01, 24.3, 3.53035
2021/03/19 20:52 +0100, GMT+01, 24.1, 3.71424
2021/03/19 21:12 +0100, GMT+01, 23.8, 3.89665
2021/03/19 21:32 +0100, GMT+01, 23.6, 4.07743
2021/03/19 21:52 +0100, GMT+01, 23.3, 4.25647
2021/03/19 22:12 +0100, GMT+01, 23.1, 4.43366
2021/03/19 22:32 +0100, GMT+01, 22.9, 4.60938
2021/03/19 22:52 +0100, GMT+01, 22.8, 4.78401
2021/03/19 23:12 +0100, GMT+01, 22.5, 4.95702
2021/03/19 23:32 +0100, GMT+01, 22.3, 5.12805
2021/03/19 23:52 +0100, GMT+01, 22, 5.29679
2021/03/20 00:12 +0100, GMT+01, 21.6, 5.46246
2021/03/20 00:32 +0100, GMT+01, 21.3, 5.62504
2021/03/20 00:52 +0100, GMT+01, 21, 5.78497
2021/03/20 01:12 +0100, GMT+01, 20.7, 5.94223
2021/03/20 01:32 +0100, GMT+01, 20.4, 6.09682
2021/03/20 01:52 +0100, GMT+01, 20.1, 6.24875
2021/03/20 02:12 +0100, GMT+01, 19.8, 6.39802
2021/03/20 02:32 +0100, GMT+01, 19.5, 6.54464
2021/03/20 02:52 +0100, GMT+01, 19.1, 6.68821
2021/03/20 03:12 +0100, GMT+01, 19, 6.82956
2021/03/20 03:32 +0100, GMT+01, 18.8, 6.96951
2021/03/20 03:52 +0100, GMT+01, 18.6, 7.10765
2021/03/20 04:12 +0100, GMT+01, 18.4, 7.24399
2021/03/20 04:32 +0100, GMT+01, 18.2, 7.37853
2021/03/20 04:52 +0100, GMT+01, 18, 7.51128
2021/03/20 05:12 +0100, GMT+01, 17.7, 7.64186
2021/03/20 05:32 +0100, GMT+01, 17.5, 7.77029
2021/03/20 05:52 +0100, GMT+01, 17.2, 7.89659
2021/03/20 06:12 +0100, GMT+01, 17, 8.02078
2021/03/20 06:32 +0100, GMT+01, 16.8, 8.14324
2021/03/20 06:52 +0100, GMT+01, 16.5, 8.26363
2021/03/20 07:12 +0100, GMT+01, 16.3, 8.38205
2021/03/20 07:32 +0100, GMT+01, 16.2, 8.49906
2021/03/20 07:52 +0100, GMT+01, 16, 8.61476
2021/03/20 08:12 +0100, GMT+01, 15.9, 8.72916
2021/03/20 08:32 +0100, GMT+01, 15.8, 8.84262
2021/03/20 08:52 +0100, GMT+01, 15.7, 8.95515
2021/03/20 09:12 +0100, GMT+01, 15.6, 9.06675
2021/03/20 09:32 +0100, GMT+01, 15.6, 9.17778
2021/03/20 09:52 +0100, GMT+01, 15.6, 9.28858
2021/03/20 10:12 +0100, GMT+01, 15.6, 9.39916
2021/03/20 10:32 +0100, GMT+01, 15.5, 9.50916
2021/03/20 10:52 +0100, GMT+01, 15.5, 9.61858
2021/03/20 11:12 +0100, GMT+01, 15.5, 9.72778
2021/03/20 11:32 +0100, GMT+01, 15.5, 9.83674
2021/03/20 11:52 +0100, GMT+01, 15.5, 9.94547
2021/03/20 12:12 +0100, GMT+01, 15.5, 10.05397
2021/03/20 12:32 +0100, GMT+01, 15.5, 10.16223
2021/03/20 12:52 +0100, GMT+01, 15.5, 10.27026
2021/03/20 13:12 +0100, GMT+01, 15.5, 10.37805
2021/03/20 13:32 +0100, GMT+01, 15.5, 10.4856
2021/03/20 13:52 +0100, GMT+01, 15.4, 10.59257
2021/03/20 14:12 +0100, GMT+01, 15.4, 10.69896
2021/03/20 14:32 +0100, GMT+01, 15.4, 10.80512
2021/03/20 14:52 +0100, GMT+01, 15.5, 10.91146
2021/03/20 15:12 +0100, GMT+01, 15.5, 11.01781
2021/03/20 15:32 +0100, GMT+01, 15.5, 11.12392
2021/03/20 15:52 +0100, GMT+01, 15.5, 11.22979
2021/03/20 16:12 +0100, GMT+01, 15.5, 11.33541
2021/03/20 16:32 +0100, GMT+01, 15.5, 11.44079
2021/03/20 16:52 +0100, GMT+01, 15.4, 11.54558
2021/03/20 17:12 +0100, GMT+01, 15.4, 11.64981
2021/03/20 17:32 +0100, GMT+01, 15.3, 11.75346
2021/03/20 17:52 +0100, GMT+01, 15.3, 11.85654
2021/03/20 18:12 +0100, GMT+01, 15.2, 11.95906
2021/03/20 18:32 +0100, GMT+01, 15.1, 12.06068
2021/03/20 18:52 +0100, GMT+01, 15, 12.16142
2021/03/20 19:12 +0100, GMT+01, 15, 12.26161
2021/03/20 19:32 +0100, GMT+01, 14.8, 12.36092
2021/03/20 19:52 +0100, GMT+01, 14.8, 12.45936
2021/03/20 20:12 +0100, GMT+01, 14.7, 12.55726
2021/03/20 20:32 +0100, GMT+01, 14.6, 12.65431
2021/03/20 20:52 +0100, GMT+01, 14.5, 12.75051
2021/03/20 21:12 +0100, GMT+01, 14.5, 12.84617
2021/03/20 21:32 +0100, GMT+01, 14.3, 12.941
2021/03/20 21:52 +0100, GMT+01, 14.2, 13.03468
2021/03/20 22:12 +0100, GMT+01, 14, 13.12724
2021/03/20 22:32 +0100, GMT+01, 14, 13.21905
2021/03/20 22:52 +0100, GMT+01, 13.9, 13.31028
2021/03/20 23:12 +0100, GMT+01, 13.8, 13.40071
2021/03/20 23:32 +0100, GMT+01, 13.8, 13.49064
2021/03/20 23:52 +0100, GMT+01, 13.7, 13.58007
2021/03/21 00:12 +0100, GMT+01, 13.7, 13.66902
2021/03/21 00:32 +0100, GMT+01, 13.6, 13.75747
2021/03/21 00:52 +0100, GMT+01, 13.5, 13.84514
2021/03/21 01:12 +0100, GMT+01, 13.4, 13.93203
2021/03/21 01:32 +0100, GMT+01, 13.3, 14.01815
2021/03/21 01:52 +0100, GMT+01, 13.2, 14.10351
2021/03/21 02:12 +0100, GMT+01, 13.1, 14.1881
2021/03/21 02:32 +0100, GMT+01, 13, 14.27195
2021/03/21 02:52 +0100, GMT+01, 13, 14.35533
2021/03/21 03:12 +0100, GMT+01, 12.9, 14.43826
2021/03/21 03:32 +0100, GMT+01, 12.8, 14.52044
2021/03/21 03:52 +0100, GMT+01, 12.7, 14.60189
2021/03/21 04:12 +0100, GMT+01, 12.6, 14.68262
2021/03/21 04:32 +0100, GMT+01, 12.5, 14.76262
2021/03/21 04:52 +0100, GMT+01, 12.3, 14.84162
2021/03/21 05:12 +0100, GMT+01, 12.1, 14.91937
2021/03/21 05:32 +0100, GMT+01, 12, 14.99614
2021/03/21 05:52 +0100, GMT+01, 12, 15.07249
2021/03/21 06:12 +0100, GMT+01, 11.8, 15.14821
2021/03/21 06:32 +0100, GMT+01, 11.7, 15.22292
2021/03/21 06:52 +0100, GMT+01, 11.6, 15.29695
2021/03/21 07:12 +0100, GMT+01, 11.5, 15.37031
2021/03/21 07:32 +0100, GMT+01, 11.5, 15.44327
2021/03/21 07:52 +0100, GMT+01, 11.4, 15.51583
2021/03/21 08:12 +0100, GMT+01, 11.3, 15.58773
2021/03/21 08:32 +0100, GMT+01, 11.3, 15.65924
2021/03/21 08:52 +0100, GMT+01, 11.3, 15.73062
2021/03/21 09:12 +0100, GMT+01, 11.3, 15.80187
2021/03/21 09:32 +0100, GMT+01, 11.3, 15.87299
2021/03/21 09:52 +0100, GMT+01, 11.3, 15.94398
2021/03/21 10:12 +0100, GMT+01, 11.4, 16.0151
2021/03/21 10:32 +0100, GMT+01, 11.5, 16.08661
2021/03/21 10:52 +0100, GMT+01, 11.6, 16.15852
2021/03/21 11:12 +0100, GMT+01, 12.1, 16.23186
2021/03/21 11:32 +0100, GMT+01, 12.5, 16.30744
2021/03/21 11:52 +0100, GMT+01, 12.6, 16.38422
2021/03/21 12:12 +0100, GMT+01, 12.8, 16.46165
2021/03/21 12:32 +0100, GMT+01, 13, 16.54
2021/03/21 12:52 +0100, GMT+01, 13.3, 16.61956
2021/03/21 13:12 +0100, GMT+01, 13.6, 16.70059
2021/03/21 13:32 +0100, GMT+01, 14.1, 16.78366
2021/03/21 13:52 +0100, GMT+01, 14.5, 16.86914
2021/03/21 14:12 +0100, GMT+01, 14.8, 16.95634
2021/03/21 14:32 +0100, GMT+01, 14.8, 17.04419
2021/03/21 14:52 +0100, GMT+01, 14.9, 17.13213
2021/03/21 15:12 +0100, GMT+01, 15, 17.22043
2021/03/21 15:32 +0100, GMT+01, 14.9, 17.30854
2021/03/21 15:52 +0100, GMT+01, 14.8, 17.39587
2021/03/21 16:12 +0100, GMT+01, 14.7, 17.48244
2021/03/21 16:32 +0100, GMT+01, 14.6, 17.56826
2021/03/21 16:52 +0100, GMT+01, 14.5, 17.65333
2021/03/21 17:12 +0100, GMT+01, 14.5, 17.73792
2021/03/21 17:32 +0100, GMT+01, 14.3, 17.82178
2021/03/21 17:52 +0100, GMT+01, 14.2, 17.90464
2021/03/21 18:12 +0100, GMT+01, 14.1, 17.98677
2021/03/21 18:32 +0100, GMT+01, 14, 18.06817
2021/03/21 18:52 +0100, GMT+01, 13.9, 18.14887
2021/03/21 19:12 +0100, GMT+01, 13.8, 18.22885
2021/03/21 19:32 +0100, GMT+01, 13.6, 18.30787
2021/03/21 19:52 +0100, GMT+01, 13.5, 18.38593
2021/03/21 20:12 +0100, GMT+01, 13.3, 18.46305
2021/03/21 20:32 +0100, GMT+01, 13.1, 18.53896
2021/03/21 20:52 +0100, GMT+01, 12.9, 18.61369
2021/03/21 21:12 +0100, GMT+01, 12.7, 18.68724
2021/03/21 21:32 +0100, GMT+01, 12.6, 18.75995
2021/03/21 21:52 +0100, GMT+01, 12.4, 18.8317
2021/03/21 22:12 +0100, GMT+01, 12.2, 18.90232
2021/03/21 22:32 +0100, GMT+01, 12.1, 18.97206
2021/03/21 22:52 +0100, GMT+01, 11.9, 19.04093
2021/03/21 23:12 +0100, GMT+01, 11.7, 19.10869
2021/03/21 23:32 +0100, GMT+01, 11.5, 19.17537
2021/03/21 23:52 +0100, GMT+01, 11.3, 19.24097
2021/03/22 00:12 +0100, GMT+01, 11.1, 19.3055
2021/03/22 00:32 +0100, GMT+01, 10.9, 19.36897
2021/03/22 00:52 +0100, GMT+01, 10.8, 19.43164
2021/03/22 01:12 +0100, GMT+01, 10.6, 19.49351
2021/03/22 01:32 +0100, GMT+01, 10.5, 19.55458
2021/03/22 01:52 +0100, GMT+01, 10.4, 19.61509
2021/03/22 02:12 +0100, GMT+01, 10.4, 19.67528
2021/03/22 02:32 +0100, GMT+01, 10.3, 19.73515
2021/03/22 02:52 +0100, GMT+01, 10.2, 19.79446
2021/03/22 03:12 +0100, GMT+01, 10.1, 19.85323
2021/03/22 03:32 +0100, GMT+01, 10.1, 19.91169
2021/03/22 03:52 +0100, GMT+01, 10, 19.96983
2021/03/22 04:12 +0100, GMT+01, 10, 20.02766
2021/03/22 04:32 +0100, GMT+01, 9.9, 20.08517
2021/03/22 04:52 +0100, GMT+01, 9.8, 20.14221
2021/03/22 05:12 +0100, GMT+01, 9.8, 20.19889
2021/03/22 05:32 +0100, GMT+01, 9.6, 20.25504
2021/03/22 05:52 +0100, GMT+01, 9.6, 20.31068
2021/03/22 06:12 +0100, GMT+01, 9.5, 20.36601
2021/03/22 06:32 +0100, GMT+01, 9.5, 20.42105
2021/03/22 06:52 +0100, GMT+01, 9.4, 20.47579
2021/03/22 07:12 +0100, GMT+01, 9.3, 20.53002
2021/03/22 07:32 +0100, GMT+01, 9.3, 20.58396
2021/03/22 07:52 +0100, GMT+01, 9.2, 20.63761
2021/03/22 08:12 +0100, GMT+01, 9.1, 20.69075
2021/03/22 08:32 +0100, GMT+01, 9.1, 20.74362
2021/03/22 08:52 +0100, GMT+01, 9.2, 20.79661
2021/03/22 09:12 +0100, GMT+01, 9.4, 20.85016
2021/03/22 09:32 +0100, GMT+01, 9.6, 20.90449
2021/03/22 09:52 +0100, GMT+01, 9.73, 20.95943
2021/03/22 10:12 +0100, GMT+01, 9.97, 21.01509
2021/03/22 10:32 +0100, GMT+01, 10.1, 21.07146
2021/03/22 10:52 +0100, GMT+01, 10.3, 21.12846
2021/03/22 11:12 +0100, GMT+01, 10.7, 21.18669
2021/03/22 11:32 +0100, GMT+01, 11.3, 21.24703
2021/03/22 11:52 +0100, GMT+01, 11.9, 21.30998
2021/03/22 12:12 +0100, GMT+01, 12.6, 21.37582
2021/03/22 12:32 +0100, GMT+01, 13.4, 21.44513
2021/03/22 12:52 +0100, GMT+01, 13.8, 21.51714
2021/03/22 13:12 +0100, GMT+01, 14, 21.59047
2021/03/22 13:32 +0100, GMT+01, 14.3, 21.66488
2021/03/22 13:52 +0100, GMT+01, 14.5, 21.74037
2021/03/22 14:12 +0100, GMT+01, 14.6, 21.81646
2021/03/22 14:32 +0100, GMT+01, 14.8, 21.89314
2021/03/22 14:52 +0100, GMT+01, 15.2, 21.97115
2021/03/22 15:12 +0100, GMT+01, 15.6, 22.05103
2021/03/22 15:32 +0100, GMT+01, 16.1, 22.13302
2021/03/22 15:52 +0100, GMT+01, 16.4, 22.2169
2021/03/22 16:12 +0100, GMT+01, 16.1, 22.30059
2021/03/22 16:32 +0100, GMT+01, 15.9, 22.3828
2021/03/22 16:52 +0100, GMT+01, 15.6, 22.46355
2021/03/22 17:12 +0100, GMT+01, 15.4, 22.54286
2021/03/22 17:32 +0100, GMT+01, 15.2, 22.62099
2021/03/22 17:52 +0100, GMT+01, 15.1, 22.69822
2021/03/22 18:12 +0100, GMT+01, 15, 22.77479
2021/03/22 18:32 +0100, GMT+01, 14.9, 22.85071
2021/03/22 18:52 +0100, GMT+01, 14.8, 22.92598
2021/03/22 19:12 +0100, GMT+01, 14.7, 23.00061
2021/03/22 19:32 +0100, GMT+01, 14.5, 23.07437
2021/03/22 19:52 +0100, GMT+01, 14.5, 23.1475
2021/03/22 20:12 +0100, GMT+01, 14.3, 23.22
2021/03/22 20:32 +0100, GMT+01, 14.1, 23.29147
2021/03/22 20:52 +0100, GMT+01, 14, 23.36204
2021/03/22 21:12 +0100, GMT+01, 14, 23.43224
2021/03/22 21:32 +0100, GMT+01, 13.8, 23.50183
2021/03/22 21:52 +0100, GMT+01, 13.7, 23.5706
2021/03/22 22:12 +0100, GMT+01, 13.6, 23.63878
2021/03/22 22:32 +0100, GMT+01, 13.5, 23.70637
2021/03/22 22:52 +0100, GMT+01, 13.3, 23.77316
2021/03/22 23:12 +0100, GMT+01, 13.2, 23.83914
2021/03/22 23:32 +0100, GMT+01, 13.1, 23.90456
2021/03/22 23:52 +0100, GMT+01, 13, 23.96941
2021/03/23 00:12 +0100, GMT+01, 12.9, 24.0337
2021/03/23 00:32 +0100, GMT+01, 12.7, 24.09722
2021/03/23 00:52 +0100, GMT+01, 12.6, 24.15996
2021/03/23 01:12 +0100, GMT+01, 12.5, 24.22216
2021/03/23 01:32 +0100, GMT+01, 12.3, 24.28361
2021/03/23 01:52 +0100, GMT+01, 12.2, 24.3443
2021/03/23 02:12 +0100, GMT+01, 12, 24.40426
2021/03/23 02:32 +0100, GMT+01, 11.9, 24.46347
2021/03/23 02:52 +0100, GMT+01, 11.8, 24.52217
2021/03/23 03:12 +0100, GMT+01, 11.6, 24.58015
2021/03/23 03:32 +0100, GMT+01, 11.5, 24.63741
2021/03/23 03:52 +0100, GMT+01, 11.3, 24.69395
2021/03/23 04:12 +0100, GMT+01, 11.2, 24.74984
2021/03/23 04:32 +0100, GMT+01, 11, 24.80499
2021/03/23 04:52 +0100, GMT+01, 10.9, 24.85944
2021/03/23 05:12 +0100, GMT+01, 10.8, 24.91341
2021/03/23 05:32 +0100, GMT+01, 10.7, 24.9669
2021/03/23 05:52 +0100, GMT+01, 10.5, 25.01971
2021/03/23 06:12 +0100, GMT+01, 10.5, 25.07205
2021/03/23 06:32 +0100, GMT+01, 10.4, 25.12412
2021/03/23 06:52 +0100, GMT+01, 10.3, 25.17572
2021/03/23 07:12 +0100, GMT+01, 10.1, 25.22667
2021/03/23 07:32 +0100, GMT+01, 10, 25.27696
2021/03/23 07:52 +0100, GMT+01, 9.9, 25.32679
2021/03/23 08:12 +0100, GMT+01, 9.8, 25.37618
2021/03/23 08:32 +0100, GMT+01, 9.8, 25.42531
2021/03/23 08:52 +0100, GMT+01, 9.8, 25.47437
2021/03/23 09:12 +0100, GMT+01, 9.8, 25.52336
2021/03/23 09:32 +0100, GMT+01, 9.8, 25.57229
2021/03/23 09:52 +0100, GMT+01, 9.8, 25.62115
2021/03/23 10:12 +0100, GMT+01, 9.9, 25.67014
2021/03/23 10:32 +0100, GMT+01, 10, 25.71943
2021/03/23 10:52 +0100, GMT+01, 10, 25.76885
2021/03/23 11:12 +0100, GMT+01, 10.1, 25.81839
2021/03/23 11:32 +0100, GMT+01, 10.1, 25.8681
2021/03/23 11:52 +0100, GMT+01, 10.3, 25.91808
2021/03/23 12:12 +0100, GMT+01, 10.3, 25.96836
2021/03/23 12:32 +0100, GMT+01, 10.4, 26.01877
