time, timezone, temperature, strength
2021/04/06 14:53 +0200, GMT+02, 10.2, 
2021/04/06 15:13 +0200, GMT+02, 11.1, 
2021/04/06 15:33 +0200, GMT+02, 8.1, 
2021/04/06 15:53 +0200, GMT+02, 7.8, 
2021/04/06 16:13 +0200, GMT+02, 7.3, 
2021/04/06 16:33 +0200, GMT+02, 7.5, 
2021/04/06 16:53 +0200, GMT+02, 14.1, 0
2021/04/06 17:13 +0200, GMT+02, 14, 0.00001
2021/04/06 17:33 +0200, GMT+02, 13.9, 0.0003
2021/04/06 17:53 +0200, GMT+02, 13.5, 0.00185
2021/04/06 18:13 +0200, GMT+02, 13.2, 0.00566
2021/04/06 18:33 +0200, GMT+02, 12.9, 0.01244
2021/04/06 18:53 +0200, GMT+02, 12.5, 0.02246
2021/04/06 19:13 +0200, GMT+02, 12.1, 0.03572
2021/04/06 19:33 +0200, GMT+02, 12, 0.05227
2021/04/06 19:53 +0200, GMT+02, 11.8, 0.0721
2021/04/06 20:13 +0200, GMT+02, 11.6, 0.09501
2021/04/06 20:32 +0200, GMT+02, 11.4, 0.11977
2021/04/06 20:52 +0200, GMT+02, 11.2, 0.1481
2021/04/06 21:12 +0200, GMT+02, 10.9, 0.17876
2021/04/06 21:32 +0200, GMT+02, 10.6, 0.21139
2021/04/06 21:52 +0200, GMT+02, 10.3, 0.2457
2021/04/06 22:12 +0200, GMT+02, 10.1, 0.28159
2021/04/06 22:32 +0200, GMT+02, 9.8, 0.31887
2021/04/06 22:52 +0200, GMT+02, 9.6, 0.35734
2021/04/06 23:12 +0200, GMT+02, 9.4, 0.39698
2021/04/06 23:32 +0200, GMT+02, 9.2, 0.43765
2021/04/06 23:52 +0200, GMT+02, 9, 0.47921
2021/04/07 00:12 +0200, GMT+02, 8.8, 0.52153
2021/04/07 00:32 +0200, GMT+02, 8.6, 0.56449
2021/04/07 00:52 +0200, GMT+02, 8.5, 0.60816
2021/04/07 01:12 +0200, GMT+02, 8.3, 0.65246
2021/04/07 01:32 +0200, GMT+02, 8.2, 0.6973
2021/04/07 01:52 +0200, GMT+02, 8.1, 0.74279
2021/04/07 02:12 +0200, GMT+02, 8, 0.78887
2021/04/07 02:32 +0200, GMT+02, 7.8, 0.83529
2021/04/07 02:52 +0200, GMT+02, 7.7, 0.88201
2021/04/07 03:12 +0200, GMT+02, 7.6, 0.9291
2021/04/07 03:32 +0200, GMT+02, 7.5, 0.97655
2021/04/07 03:52 +0200, GMT+02, 7.4, 1.02432
2021/04/07 04:12 +0200, GMT+02, 7.3, 1.07237
