time, timezone, temperature, strength
2020/07/17 18:21 +0200, GMT+02, 29.3, 
2020/07/17 18:41 +0200, GMT+02, 32, 
2020/07/17 19:01 +0200, GMT+02, 32, 
2020/07/17 19:21 +0200, GMT+02, 33.2, 
2020/07/17 19:41 +0200, GMT+02, 33.6, 
2020/07/17 20:01 +0200, GMT+02, 33.9, 
2020/07/17 20:21 +0200, GMT+02, 33.8, 
2020/07/17 20:41 +0200, GMT+02, 33.3, 
2020/07/17 21:01 +0200, GMT+02, 32.8, 
2020/07/17 21:21 +0200, GMT+02, 32.1, 
2020/07/17 21:41 +0200, GMT+02, 31.5, 
2020/07/17 22:01 +0200, GMT+02, 30.8, 
2020/07/17 22:21 +0200, GMT+02, 30.1, 
2020/07/17 22:41 +0200, GMT+02, 29.6, 
2020/07/17 23:01 +0200, GMT+02, 29, 
2020/07/17 23:21 +0200, GMT+02, 28.3, 
2020/07/17 23:41 +0200, GMT+02, 27.6, 
2020/07/18 00:01 +0200, GMT+02, 27, 
2020/07/18 00:21 +0200, GMT+02, 26.5, 
2020/07/18 00:41 +0200, GMT+02, 25.9, 
2020/07/18 01:01 +0200, GMT+02, 25.5, 
2020/07/18 01:21 +0200, GMT+02, 25, 
2020/07/18 01:41 +0200, GMT+02, 24.5, 
2020/07/18 02:01 +0200, GMT+02, 24.1, 
2020/07/18 02:21 +0200, GMT+02, 23.6, 
2020/07/18 02:41 +0200, GMT+02, 23.2, 
2020/07/18 03:01 +0200, GMT+02, 22.8, 
2020/07/18 03:21 +0200, GMT+02, 22.5, 
2020/07/18 03:41 +0200, GMT+02, 22.1, 
2020/07/18 04:01 +0200, GMT+02, 21.8, 
2020/07/18 04:21 +0200, GMT+02, 21.4, 
2020/07/18 04:41 +0200, GMT+02, 21.1, 
2020/07/18 05:01 +0200, GMT+02, 20.8, 
2020/07/18 05:21 +0200, GMT+02, 20.6, 
2020/07/18 05:41 +0200, GMT+02, 20.4, 
2020/07/18 06:01 +0200, GMT+02, 20.2, 
2020/07/18 06:21 +0200, GMT+02, 20, 
2020/07/18 06:41 +0200, GMT+02, 19.8, 
2020/07/18 07:01 +0200, GMT+02, 19.6, 
2020/07/18 07:21 +0200, GMT+02, 19.5, 
2020/07/18 07:41 +0200, GMT+02, 19.5, 
2020/07/18 08:01 +0200, GMT+02, 19.4, 
2020/07/18 08:21 +0200, GMT+02, 19.4, 
2020/07/18 08:41 +0200, GMT+02, 19.5, 
2020/07/18 09:01 +0200, GMT+02, 19.5, 
2020/07/18 09:21 +0200, GMT+02, 19.6, 
2020/07/18 09:41 +0200, GMT+02, 19.9, 0
2020/07/18 10:01 +0200, GMT+02, 20.1, 0.00005
2020/07/18 10:21 +0200, GMT+02, 20, 0.00161
2020/07/18 10:41 +0200, GMT+02, 26.4, 0.01003
2020/07/18 11:01 +0200, GMT+02, 26.5, 0.03428
2020/07/18 11:21 +0200, GMT+02, 26.5, 0.0767
2020/07/18 11:41 +0200, GMT+02, 26.4, 0.1373
2020/07/18 12:01 +0200, GMT+02, 26.4, 0.21495
2020/07/18 12:21 +0200, GMT+02, 26.5, 0.30855
2020/07/18 12:41 +0200, GMT+02, 26.5, 0.41665
2020/07/18 13:01 +0200, GMT+02, 26.8, 0.53839
2020/07/18 13:21 +0200, GMT+02, 27.1, 0.67355
2020/07/18 13:41 +0200, GMT+02, 27.5, 0.82156
2020/07/18 14:01 +0200, GMT+02, 28, 0.98241
2020/07/18 14:21 +0200, GMT+02, 28.6, 1.15627
2020/07/18 14:41 +0200, GMT+02, 29.1, 1.34268
2020/07/18 15:01 +0200, GMT+02, 29.8, 1.54162
2020/07/18 15:21 +0200, GMT+02, 30.4, 1.75316
2020/07/18 15:41 +0200, GMT+02, 30.9, 1.97599
2020/07/18 16:01 +0200, GMT+02, 31.3, 2.20887
2020/07/18 16:21 +0200, GMT+02, 31.8, 2.4509
2020/07/18 16:41 +0200, GMT+02, 32.2, 2.70183
2020/07/18 17:01 +0200, GMT+02, 32.7, 2.96121
2020/07/18 17:21 +0200, GMT+02, 33.1, 3.22863
2020/07/18 17:41 +0200, GMT+02, 33.5, 3.50314
2020/07/18 18:01 +0200, GMT+02, 33.8, 3.7838
2020/07/18 18:21 +0200, GMT+02, 34.1, 4.06964
2020/07/18 18:41 +0200, GMT+02, 34.4, 4.36032
2020/07/18 19:01 +0200, GMT+02, 34.6, 4.6549
2020/07/18 19:21 +0200, GMT+02, 34.7, 4.95191
2020/07/18 19:41 +0200, GMT+02, 34.8, 5.25044
2020/07/18 20:01 +0200, GMT+02, 34.9, 5.55023
2020/07/18 20:21 +0200, GMT+02, 35, 5.85104
2020/07/18 20:41 +0200, GMT+02, 35, 6.15206
2020/07/18 21:01 +0200, GMT+02, 35, 6.4525
2020/07/18 21:21 +0200, GMT+02, 34.9, 6.75163
2020/07/18 21:41 +0200, GMT+02, 34.8, 7.04872
2020/07/18 22:01 +0200, GMT+02, 34.7, 7.34366
2020/07/18 22:21 +0200, GMT+02, 34.6, 7.63636
2020/07/18 22:41 +0200, GMT+02, 34.5, 7.92675
2020/07/18 23:01 +0200, GMT+02, 34.3, 8.21419
2020/07/18 23:21 +0200, GMT+02, 34.1, 8.49808
2020/07/18 23:41 +0200, GMT+02, 34, 8.77897
2020/07/19 00:01 +0200, GMT+02, 33.8, 9.05684
2020/07/19 00:21 +0200, GMT+02, 33.7, 9.33167
2020/07/19 00:41 +0200, GMT+02, 33.5, 9.60347
2020/07/19 01:01 +0200, GMT+02, 33.4, 9.87223
2020/07/19 01:21 +0200, GMT+02, 33.3, 10.1385
2020/07/19 01:41 +0200, GMT+02, 33.1, 10.40174
2020/07/19 02:01 +0200, GMT+02, 33, 10.66198
2020/07/19 02:21 +0200, GMT+02, 32.8, 10.91944
2020/07/19 02:41 +0200, GMT+02, 32.6, 11.17319
2020/07/19 03:01 +0200, GMT+02, 32.5, 11.42401
2020/07/19 03:21 +0200, GMT+02, 32.4, 11.67242
2020/07/19 03:41 +0200, GMT+02, 32.3, 11.91844
2020/07/19 04:01 +0200, GMT+02, 32.1, 12.16159
2020/07/19 04:21 +0200, GMT+02, 32, 12.4019
2020/07/19 04:41 +0200, GMT+02, 31.8, 12.63939
2020/07/19 05:01 +0200, GMT+02, 31.8, 12.87459
2020/07/19 05:21 +0200, GMT+02, 31.6, 13.10752
2020/07/19 05:41 +0200, GMT+02, 31.5, 13.33771
2020/07/19 06:01 +0200, GMT+02, 31.3, 13.5652
2020/07/19 06:21 +0200, GMT+02, 31.1, 13.78955
2020/07/19 06:41 +0200, GMT+02, 31.1, 14.01174
2020/07/19 07:01 +0200, GMT+02, 30.9, 14.23179
2020/07/19 07:21 +0200, GMT+02, 30.8, 14.44927
2020/07/19 07:41 +0200, GMT+02, 30.6, 14.6642
