time, timezone, temperature, strength
2020/08/24 18:08 +0200, GMT+02, 27.5, 0
2020/08/24 18:29 +0200, GMT+02, 21.2, 0.00018
2020/08/24 18:49 +0200, GMT+02, 25.1, 0.00363
2020/08/24 19:09 +0200, GMT+02, 21.3, 0.01581
2020/08/24 19:29 +0200, GMT+02, 20.5, 0.03664
2020/08/24 19:49 +0200, GMT+02, 19, 0.06565
2020/08/24 20:09 +0200, GMT+02, 24.8, 0.1093
2020/08/24 20:29 +0200, GMT+02, 23.9, 0.17241
2020/08/24 20:49 +0200, GMT+02, 25, 0.24947
2020/08/24 21:09 +0200, GMT+02, 25.3, 0.34239
2020/08/24 21:29 +0200, GMT+02, 25.5, 0.44876
2020/08/24 21:49 +0200, GMT+02, 25.6, 0.56713
2020/08/24 22:09 +0200, GMT+02, 25.6, 0.69587
2020/08/24 22:29 +0200, GMT+02, 25.7, 0.83392
2020/08/24 22:49 +0200, GMT+02, 25.8, 0.98069
2020/08/24 23:09 +0200, GMT+02, 25.9, 1.13538
2020/08/24 23:29 +0200, GMT+02, 26, 1.29725
2020/08/24 23:49 +0200, GMT+02, 26.1, 1.46566
2020/08/25 00:09 +0200, GMT+02, 26.4, 1.64084
2020/08/25 00:29 +0200, GMT+02, 26.6, 1.82276
2020/08/25 00:49 +0200, GMT+02, 26.9, 2.01102
2020/08/25 01:09 +0200, GMT+02, 27.3, 2.20617
2020/08/25 01:29 +0200, GMT+02, 27.6, 2.40792
2020/08/25 01:49 +0200, GMT+02, 27.8, 2.61504
2020/08/25 02:09 +0200, GMT+02, 27.9, 2.82627
2020/08/25 02:29 +0200, GMT+02, 28, 3.04095
2020/08/25 02:49 +0200, GMT+02, 28.1, 3.25844
2020/08/25 03:09 +0200, GMT+02, 28.1, 3.47812
2020/08/25 03:29 +0200, GMT+02, 28.1, 3.69923
2020/08/25 03:49 +0200, GMT+02, 28.1, 3.92152
2020/08/25 04:09 +0200, GMT+02, 28.2, 4.14528
2020/08/25 04:29 +0200, GMT+02, 28.2, 4.37031
2020/08/25 04:49 +0200, GMT+02, 28.1, 4.59542
2020/08/25 05:09 +0200, GMT+02, 28.1, 4.82044
2020/08/25 05:29 +0200, GMT+02, 28.1, 5.04575
2020/08/25 05:49 +0200, GMT+02, 28, 5.27069
2020/08/25 06:09 +0200, GMT+02, 28, 5.49515
2020/08/25 06:29 +0200, GMT+02, 27.8, 5.71853
2020/08/25 06:49 +0200, GMT+02, 27.8, 5.94074
2020/08/25 07:09 +0200, GMT+02, 27.6, 6.16169
2020/08/25 07:29 +0200, GMT+02, 27.6, 6.38133
2020/08/25 07:49 +0200, GMT+02, 27.5, 6.60009
2020/08/25 08:09 +0200, GMT+02, 27.3, 6.81692
2020/08/25 08:29 +0200, GMT+02, 27.2, 7.03179
2020/08/25 08:49 +0200, GMT+02, 27.1, 7.24515
2020/08/25 09:09 +0200, GMT+02, 26.9, 7.45649
2020/08/25 09:29 +0200, GMT+02, 26.7, 7.6653
2020/08/25 09:49 +0200, GMT+02, 26.6, 7.87223
2020/08/25 10:09 +0200, GMT+02, 26.4, 8.07692
2020/08/25 10:29 +0200, GMT+02, 26.2, 8.27906
2020/08/25 10:49 +0200, GMT+02, 26.1, 8.47913
2020/08/25 11:09 +0200, GMT+02, 25.9, 8.67713
2020/08/25 11:29 +0200, GMT+02, 25.7, 8.8726
2020/08/25 11:49 +0200, GMT+02, 25.6, 9.066
2020/08/25 12:09 +0200, GMT+02, 25.5, 9.25782
2020/08/25 12:29 +0200, GMT+02, 25.3, 9.44758
2020/08/25 12:49 +0200, GMT+02, 25.2, 9.63531
2020/08/25 13:09 +0200, GMT+02, 25.1, 9.82145
2020/08/25 13:29 +0200, GMT+02, 25, 10.00602
2020/08/25 13:49 +0200, GMT+02, 25, 10.18947
2020/08/25 14:09 +0200, GMT+02, 25, 10.37224
2020/08/25 14:29 +0200, GMT+02, 25, 10.55433
2020/08/25 14:49 +0200, GMT+02, 25, 10.73573
2020/08/25 15:09 +0200, GMT+02, 25, 10.91643
2020/08/25 15:29 +0200, GMT+02, 25, 11.09644
2020/08/25 15:49 +0200, GMT+02, 25, 11.27576
2020/08/25 16:09 +0200, GMT+02, 24.9, 11.45393
2020/08/25 16:29 +0200, GMT+02, 24.9, 11.63098
2020/08/25 16:49 +0200, GMT+02, 24.8, 11.8069
2020/08/25 17:09 +0200, GMT+02, 24.8, 11.9817
2020/08/25 17:29 +0200, GMT+02, 24.8, 12.15595
2020/08/25 17:49 +0200, GMT+02, 24.8, 12.32937
2020/08/25 18:09 +0200, GMT+02, 24.8, 12.50209
2020/08/25 18:29 +0200, GMT+02, 24.8, 12.67413
2020/08/25 18:49 +0200, GMT+02, 24.8, 12.84547
2020/08/25 19:09 +0200, GMT+02, 24.9, 13.01655
2020/08/25 19:29 +0200, GMT+02, 24.9, 13.18734
2020/08/25 19:49 +0200, GMT+02, 24.8, 13.35704
2020/08/25 20:09 +0200, GMT+02, 24.8, 13.52563
2020/08/25 20:29 +0200, GMT+02, 24.8, 13.69354
2020/08/25 20:49 +0200, GMT+02, 24.6, 13.85995
2020/08/25 21:09 +0200, GMT+02, 24.5, 14.02447
2020/08/25 21:29 +0200, GMT+02, 24.3, 14.18712
2020/08/25 21:49 +0200, GMT+02, 24.1, 14.34753
2020/08/25 22:09 +0200, GMT+02, 23.9, 14.50573
2020/08/25 22:29 +0200, GMT+02, 23.7, 14.66173
2020/08/25 22:49 +0200, GMT+02, 23.5, 14.81558
2020/08/25 23:09 +0200, GMT+02, 23.4, 14.96769
2020/08/25 23:29 +0200, GMT+02, 23.2, 15.11806
2020/08/25 23:49 +0200, GMT+02, 23.1, 15.26674
2020/08/26 00:09 +0200, GMT+02, 23, 15.4141
2020/08/26 00:29 +0200, GMT+02, 22.8, 15.55979
2020/08/26 00:49 +0200, GMT+02, 22.6, 15.70346
2020/08/26 01:09 +0200, GMT+02, 22.5, 15.8455
2020/08/26 01:29 +0200, GMT+02, 22.4, 15.98641
2020/08/26 01:49 +0200, GMT+02, 22.3, 16.12598
2020/08/26 02:09 +0200, GMT+02, 22.1, 16.26396
2020/08/26 02:29 +0200, GMT+02, 22, 16.40037
2020/08/26 02:49 +0200, GMT+02, 21.9, 16.5356
2020/08/26 03:09 +0200, GMT+02, 21.8, 16.66965
2020/08/26 03:29 +0200, GMT+02, 21.6, 16.80218
2020/08/26 03:49 +0200, GMT+02, 21.5, 16.93321
2020/08/26 04:09 +0200, GMT+02, 21.5, 17.06345
2020/08/26 04:29 +0200, GMT+02, 21.3, 17.19256
2020/08/26 04:49 +0200, GMT+02, 21.2, 17.32021
2020/08/26 05:09 +0200, GMT+02, 21.1, 17.44675
2020/08/26 05:29 +0200, GMT+02, 21, 17.5722
2020/08/26 05:49 +0200, GMT+02, 21, 17.6969
2020/08/26 06:09 +0200, GMT+02, 20.8, 17.82052
2020/08/26 06:29 +0200, GMT+02, 20.8, 17.94308
2020/08/26 06:49 +0200, GMT+02, 20.6, 18.06458
2020/08/26 07:09 +0200, GMT+02, 20.6, 18.18504
2020/08/26 07:29 +0200, GMT+02, 20.5, 18.30478
2020/08/26 07:49 +0200, GMT+02, 20.4, 18.4235
2020/08/26 08:09 +0200, GMT+02, 20.3, 18.5412
2020/08/26 08:29 +0200, GMT+02, 20.3, 18.65821
2020/08/26 08:49 +0200, GMT+02, 20.1, 18.77431
2020/08/26 09:09 +0200, GMT+02, 20.1, 18.88932
2020/08/26 09:29 +0200, GMT+02, 20, 19.00367
2020/08/26 09:49 +0200, GMT+02, 20, 19.11735
2020/08/26 10:09 +0200, GMT+02, 19.9, 19.23038
2020/08/26 10:29 +0200, GMT+02, 19.9, 19.34275
2020/08/26 10:49 +0200, GMT+02, 19.9, 19.45479
2020/08/26 11:09 +0200, GMT+02, 19.9, 19.56649
2020/08/26 11:29 +0200, GMT+02, 19.9, 19.67786
2020/08/26 11:49 +0200, GMT+02, 19.9, 19.7889
2020/08/26 12:09 +0200, GMT+02, 20, 19.89991
2020/08/26 12:29 +0200, GMT+02, 20, 20.01091
2020/08/26 12:49 +0200, GMT+02, 20.1, 20.12188
2020/08/26 13:09 +0200, GMT+02, 20.1, 20.23282
2020/08/26 13:29 +0200, GMT+02, 20.2, 20.34375
2020/08/26 13:49 +0200, GMT+02, 20.3, 20.45495
2020/08/26 14:09 +0200, GMT+02, 20.4, 20.56644
2020/08/26 14:29 +0200, GMT+02, 20.6, 20.6785
2020/08/26 14:49 +0200, GMT+02, 20.7, 20.79115
2020/08/26 15:09 +0200, GMT+02, 20.8, 20.90407
2020/08/26 15:29 +0200, GMT+02, 20.9, 21.01726
2020/08/26 15:49 +0200, GMT+02, 21, 21.13071
2020/08/26 16:09 +0200, GMT+02, 21.1, 21.24443
2020/08/26 16:29 +0200, GMT+02, 21.2, 21.35841
2020/08/26 16:49 +0200, GMT+02, 21.3, 21.47275
2020/08/26 17:09 +0200, GMT+02, 21.5, 21.58755
2020/08/26 17:29 +0200, GMT+02, 21.5, 21.70261
2020/08/26 17:49 +0200, GMT+02, 21.6, 21.81762
2020/08/26 18:09 +0200, GMT+02, 21.8, 21.93318
2020/08/26 18:29 +0200, GMT+02, 21.8, 22.04899
2020/08/26 18:49 +0200, GMT+02, 22, 22.16505
2020/08/26 19:09 +0200, GMT+02, 22, 22.28135
2020/08/26 19:29 +0200, GMT+02, 22.1, 22.39759
2020/08/26 19:49 +0200, GMT+02, 22.2, 22.51408
2020/08/26 20:09 +0200, GMT+02, 22.3, 22.63079
2020/08/26 20:29 +0200, GMT+02, 22.3, 22.74745
2020/08/26 20:49 +0200, GMT+02, 22.4, 22.86403
2020/08/26 21:09 +0200, GMT+02, 22.5, 22.98085
2020/08/26 21:29 +0200, GMT+02, 22.5, 23.0976
2020/08/26 21:49 +0200, GMT+02, 22.5, 23.21398
2020/08/26 22:09 +0200, GMT+02, 22.6, 23.33029
2020/08/26 22:29 +0200, GMT+02, 22.6, 23.44653
2020/08/26 22:49 +0200, GMT+02, 22.6, 23.56239
2020/08/26 23:09 +0200, GMT+02, 22.6, 23.6779
2020/08/26 23:29 +0200, GMT+02, 22.6, 23.79303
2020/08/26 23:49 +0200, GMT+02, 22.6, 23.9078
2020/08/27 00:09 +0200, GMT+02, 22.6, 24.02222
2020/08/27 00:29 +0200, GMT+02, 22.6, 24.13627
2020/08/27 00:49 +0200, GMT+02, 22.6, 24.25006
2020/08/27 01:09 +0200, GMT+02, 22.6, 24.3634
2020/08/27 01:29 +0200, GMT+02, 22.6, 24.47638
2020/08/27 01:49 +0200, GMT+02, 22.5, 24.58873
2020/08/27 02:09 +0200, GMT+02, 22.5, 24.70043
2020/08/27 02:29 +0200, GMT+02, 22.5, 24.8118
2020/08/27 02:49 +0200, GMT+02, 22.5, 24.92282
2020/08/27 03:09 +0200, GMT+02, 22.4, 25.03322
2020/08/27 03:29 +0200, GMT+02, 22.3, 25.14271
2020/08/27 03:49 +0200, GMT+02, 22.3, 25.25158
2020/08/27 04:09 +0200, GMT+02, 22.2, 25.35985
2020/08/27 04:29 +0200, GMT+02, 22.1, 25.46723
2020/08/27 04:49 +0200, GMT+02, 22.1, 25.57401
2020/08/27 05:09 +0200, GMT+02, 22, 25.68019
2020/08/27 05:29 +0200, GMT+02, 21.9, 25.78552
2020/08/27 05:49 +0200, GMT+02, 21.8, 25.88998
2020/08/27 06:09 +0200, GMT+02, 21.8, 25.99386
2020/08/27 06:29 +0200, GMT+02, 21.6, 26.09691
2020/08/27 06:49 +0200, GMT+02, 21.6, 26.19911
2020/08/27 07:09 +0200, GMT+02, 21.5, 26.30075
2020/08/27 07:29 +0200, GMT+02, 21.4, 26.40157
2020/08/27 07:49 +0200, GMT+02, 21.3, 26.50158
2020/08/27 08:09 +0200, GMT+02, 21.2, 26.60077
2020/08/27 08:29 +0200, GMT+02, 21.1, 26.69924
2020/08/27 08:49 +0200, GMT+02, 21.1, 26.7971
2020/08/27 09:09 +0200, GMT+02, 21, 26.89443
2020/08/27 09:29 +0200, GMT+02, 20.9, 26.99098
2020/08/27 09:49 +0200, GMT+02, 20.8, 27.08674
