time, timezone, temperature, strength
2020/10/10 10:36 +0200, GMT+02, 10.8, 
2020/10/10 10:52 +0200, GMT+02, 10.5, 
2020/10/10 11:12 +0200, GMT+02, 10.7, 0
2020/10/10 11:32 +0200, GMT+02, 11.2, 0
2020/10/10 11:52 +0200, GMT+02, 11.5, 0.00011
2020/10/10 12:12 +0200, GMT+02, 11.5, 0.00082
2020/10/10 12:32 +0200, GMT+02, 12.3, 0.00297
2020/10/10 12:52 +0200, GMT+02, 13.3, 0.00766
2020/10/10 13:12 +0200, GMT+02, 14.3, 0.01613
2020/10/10 13:32 +0200, GMT+02, 13.2, 0.02865
2020/10/10 13:52 +0200, GMT+02, 12.8, 0.04455
2020/10/10 14:12 +0200, GMT+02, 12.6, 0.06402
2020/10/10 14:32 +0200, GMT+02, 17.1, 0.09132
2020/10/10 14:52 +0200, GMT+02, 17.2, 0.12911
2020/10/10 15:12 +0200, GMT+02, 17, 0.17324
2020/10/10 15:32 +0200, GMT+02, 16.9, 0.22302
2020/10/10 15:52 +0200, GMT+02, 16.8, 0.27818
2020/10/10 16:12 +0200, GMT+02, 16.7, 0.33819
2020/10/10 16:32 +0200, GMT+02, 16.6, 0.40267
2020/10/10 16:52 +0200, GMT+02, 16.5, 0.47121
2020/10/10 17:12 +0200, GMT+02, 16.5, 0.54367
2020/10/10 17:32 +0200, GMT+02, 16.5, 0.61997
2020/10/10 17:52 +0200, GMT+02, 16.4, 0.6996
2020/10/10 18:12 +0200, GMT+02, 16.3, 0.78201
2020/10/10 18:32 +0200, GMT+02, 16.3, 0.8672
2020/10/10 18:52 +0200, GMT+02, 16.3, 0.9552
2020/10/10 19:12 +0200, GMT+02, 16.3, 1.04582
2020/10/10 19:32 +0200, GMT+02, 16.2, 1.13859
2020/10/10 19:52 +0200, GMT+02, 16.2, 1.2333
2020/10/10 20:12 +0200, GMT+02, 16.1, 1.32979
2020/10/10 20:32 +0200, GMT+02, 16.2, 1.42821
2020/10/10 20:52 +0200, GMT+02, 16.2, 1.52873
2020/10/10 21:12 +0200, GMT+02, 16.3, 1.63124
2020/10/10 21:32 +0200, GMT+02, 16.3, 1.73565
2020/10/10 21:52 +0200, GMT+02, 16.4, 1.84193
2020/10/10 22:12 +0200, GMT+02, 16.5, 1.95016
2020/10/10 22:32 +0200, GMT+02, 16.5, 2.06002
2020/10/10 22:52 +0200, GMT+02, 16.5, 2.17106
2020/10/10 23:12 +0200, GMT+02, 16.6, 2.28356
2020/10/10 23:32 +0200, GMT+02, 16.7, 2.39779
2020/10/10 23:52 +0200, GMT+02, 16.8, 2.51368
2020/10/11 00:12 +0200, GMT+02, 17, 2.63155
2020/10/11 00:32 +0200, GMT+02, 17, 2.75099
2020/10/11 00:52 +0200, GMT+02, 17, 2.87121
2020/10/11 01:12 +0200, GMT+02, 17, 2.99214
2020/10/11 01:32 +0200, GMT+02, 16.9, 3.11335
2020/10/11 01:52 +0200, GMT+02, 16.8, 3.23442
2020/10/11 02:12 +0200, GMT+02, 16.8, 3.35566
2020/10/11 02:32 +0200, GMT+02, 16.6, 3.47663
2020/10/11 02:52 +0200, GMT+02, 16.6, 3.59729
2020/10/11 03:12 +0200, GMT+02, 16.5, 3.71797
2020/10/11 03:32 +0200, GMT+02, 16.3, 3.83787
