time, timezone, temperature, strength
2020/08/13 10:41 +0200, GMT+02, 26.2, 
2020/08/13 11:01 +0200, GMT+02, 24.8, 
2020/08/13 11:21 +0200, GMT+02, 26.3, 
2020/08/13 11:41 +0200, GMT+02, 27.5, 
2020/08/13 12:01 +0200, GMT+02, 28.3, 0
2020/08/13 12:21 +0200, GMT+02, 28.6, 0.00047
2020/08/13 12:41 +0200, GMT+02, 28.8, 0.00872
2020/08/13 13:01 +0200, GMT+02, 29, 0.03534
2020/08/13 13:21 +0200, GMT+02, 29.2, 0.08509
2020/08/13 13:41 +0200, GMT+02, 29.5, 0.15886
2020/08/13 14:01 +0200, GMT+02, 29.9, 0.25622
2020/08/13 14:21 +0200, GMT+02, 30.4, 0.37633
2020/08/13 14:41 +0200, GMT+02, 31, 0.51845
2020/08/13 15:01 +0200, GMT+02, 31.6, 0.68167
2020/08/13 15:21 +0200, GMT+02, 32.2, 0.86483
2020/08/13 15:41 +0200, GMT+02, 32.9, 1.0672
2020/08/13 16:01 +0200, GMT+02, 33.6, 1.2882
2020/08/13 16:21 +0200, GMT+02, 34.5, 1.52791
2020/08/13 16:41 +0200, GMT+02, 35, 1.78456
2020/08/13 17:01 +0200, GMT+02, 35.3, 2.0541
2020/08/13 17:21 +0200, GMT+02, 35.6, 2.33431
2020/08/13 17:41 +0200, GMT+02, 35.8, 2.62355
2020/08/13 18:01 +0200, GMT+02, 36, 2.92024
2020/08/13 18:21 +0200, GMT+02, 36.1, 3.22292
2020/08/13 18:41 +0200, GMT+02, 36.2, 3.53019
2020/08/13 19:01 +0200, GMT+02, 36.4, 3.84193
2020/08/13 19:21 +0200, GMT+02, 36.5, 4.15753
2020/08/13 19:41 +0200, GMT+02, 36.6, 4.47584
2020/08/13 20:01 +0200, GMT+02, 36.7, 4.7964
2020/08/13 20:21 +0200, GMT+02, 36.8, 5.11878
2020/08/13 20:41 +0200, GMT+02, 36.8, 5.442
2020/08/13 21:01 +0200, GMT+02, 36.7, 5.76452
2020/08/13 21:21 +0200, GMT+02, 36.6, 6.08572
2020/08/13 21:41 +0200, GMT+02, 36.6, 6.40544
2020/08/13 22:01 +0200, GMT+02, 36.5, 6.72376
2020/08/13 22:21 +0200, GMT+02, 36.3, 7.0393
2020/08/13 22:41 +0200, GMT+02, 36.2, 7.35193
2020/08/13 23:01 +0200, GMT+02, 36, 7.66156
2020/08/13 23:21 +0200, GMT+02, 35.9, 7.96811
2020/08/13 23:41 +0200, GMT+02, 35.6, 8.27093
2020/08/14 00:01 +0200, GMT+02, 35.4, 8.5694
2020/08/14 00:21 +0200, GMT+02, 35.1, 8.86353
2020/08/14 00:41 +0200, GMT+02, 34.8, 9.15275
2020/08/14 01:01 +0200, GMT+02, 34.6, 9.43765
2020/08/14 01:21 +0200, GMT+02, 34.3, 9.71826
2020/08/14 01:41 +0200, GMT+02, 34, 9.99404
2020/08/14 02:01 +0200, GMT+02, 33.8, 10.2656
2020/08/14 02:21 +0200, GMT+02, 33.5, 10.53298
2020/08/14 02:41 +0200, GMT+02, 33.3, 10.79621
2020/08/14 03:01 +0200, GMT+02, 33, 11.05534
2020/08/14 03:21 +0200, GMT+02, 32.8, 11.31043
2020/08/14 03:41 +0200, GMT+02, 32.5, 11.56152
2020/08/14 04:01 +0200, GMT+02, 32.3, 11.80867
2020/08/14 04:21 +0200, GMT+02, 32, 12.05192
2020/08/14 04:41 +0200, GMT+02, 31.7, 12.29083
2020/08/14 05:01 +0200, GMT+02, 31.5, 12.52617
