time, timezone, temperature, strength
2020/08/14 12:44 +0200, GMT+02, 21.8, 
2020/08/14 13:04 +0200, GMT+02, 25.5, 
2020/08/14 13:24 +0200, GMT+02, 26.8, 
2020/08/14 13:44 +0200, GMT+02, 26.8, 
2020/08/14 14:04 +0200, GMT+02, 26.6, 0
2020/08/14 14:24 +0200, GMT+02, 26.6, 0.00031
2020/08/14 14:44 +0200, GMT+02, 26.5, 0.00618
2020/08/14 15:04 +0200, GMT+02, 26.5, 0.02576
2020/08/14 15:24 +0200, GMT+02, 26.6, 0.06314
2020/08/14 15:44 +0200, GMT+02, 26.7, 0.11936
2020/08/14 16:04 +0200, GMT+02, 26.8, 0.1939
2020/08/14 16:24 +0200, GMT+02, 27, 0.28577
2020/08/14 16:44 +0200, GMT+02, 27.3, 0.39419
2020/08/14 17:04 +0200, GMT+02, 27.5, 0.51808
2020/08/14 17:24 +0200, GMT+02, 27.8, 0.65604
2020/08/14 17:44 +0200, GMT+02, 28.1, 0.8074
2020/08/14 18:04 +0200, GMT+02, 28.6, 0.97195
2020/08/14 18:24 +0200, GMT+02, 29.1, 1.14973
2020/08/14 18:44 +0200, GMT+02, 29.6, 1.34012
2020/08/14 19:04 +0200, GMT+02, 30, 1.54209
2020/08/14 19:24 +0200, GMT+02, 30.2, 1.75365
2020/08/14 19:44 +0200, GMT+02, 30.4, 1.97311
2020/08/14 20:04 +0200, GMT+02, 30.6, 2.19978
2020/08/14 20:24 +0200, GMT+02, 30.7, 2.4325
2020/08/14 20:44 +0200, GMT+02, 30.8, 2.67015
2020/08/14 21:04 +0200, GMT+02, 31, 2.9127
2020/08/14 21:24 +0200, GMT+02, 31, 3.15913
2020/08/14 21:44 +0200, GMT+02, 31, 3.40794
2020/08/14 22:04 +0200, GMT+02, 31.1, 3.65924
2020/08/14 22:24 +0200, GMT+02, 31.1, 3.91267
2020/08/14 22:44 +0200, GMT+02, 31.1, 4.16735
2020/08/14 23:04 +0200, GMT+02, 31, 4.42246
2020/08/14 23:24 +0200, GMT+02, 31, 4.67773
2020/08/14 23:44 +0200, GMT+02, 30.9, 4.93293
2020/08/15 00:04 +0200, GMT+02, 30.8, 5.18732
2020/08/15 00:24 +0200, GMT+02, 30.8, 5.44126
2020/08/15 00:44 +0200, GMT+02, 30.7, 5.69482
2020/08/15 01:04 +0200, GMT+02, 30.6, 5.94689
2020/08/15 01:24 +0200, GMT+02, 30.5, 6.19757
2020/08/15 01:44 +0200, GMT+02, 30.4, 6.44677
2020/08/15 02:04 +0200, GMT+02, 30.3, 6.69439
2020/08/15 02:24 +0200, GMT+02, 30.1, 6.93984
2020/08/15 02:44 +0200, GMT+02, 30.1, 7.18359
2020/08/15 03:04 +0200, GMT+02, 30, 7.42612
2020/08/15 03:24 +0200, GMT+02, 29.8, 7.66631
2020/08/15 03:44 +0200, GMT+02, 29.8, 7.90468
2020/08/15 04:04 +0200, GMT+02, 29.6, 8.14118
2020/08/15 04:24 +0200, GMT+02, 29.5, 8.37528
2020/08/15 04:44 +0200, GMT+02, 29.4, 8.60748
2020/08/15 05:04 +0200, GMT+02, 29.3, 8.83776
2020/08/15 05:24 +0200, GMT+02, 29.2, 9.06612
2020/08/15 05:44 +0200, GMT+02, 29, 9.29204
2020/08/15 06:04 +0200, GMT+02, 28.9, 9.51553
2020/08/15 06:24 +0200, GMT+02, 28.8, 9.73709
2020/08/15 06:44 +0200, GMT+02, 28.6, 9.95623
2020/08/15 07:04 +0200, GMT+02, 28.5, 10.17297
2020/08/15 07:24 +0200, GMT+02, 28.3, 10.38731
2020/08/15 07:44 +0200, GMT+02, 28.2, 10.59928
2020/08/15 08:04 +0200, GMT+02, 28, 10.80888
2020/08/15 08:24 +0200, GMT+02, 27.9, 11.01632
