time, timezone, temperature, strength
2021/02/02 12:47 +0100, GMT+01, 14, 
2021/02/02 13:06 +0100, GMT+01, 13.5, 
2021/02/02 13:26 +0100, GMT+01, 11.8, 
2021/02/02 13:46 +0100, GMT+01, 12.2, 
2021/02/02 14:06 +0100, GMT+01, 12.8, 
2021/02/02 14:26 +0100, GMT+01, 12.6, 
2021/02/02 14:46 +0100, GMT+01, 12.4, 
2021/02/02 15:06 +0100, GMT+01, 12.6, 
2021/02/02 15:26 +0100, GMT+01, 12.8, 
2021/02/02 15:46 +0100, GMT+01, 12.6, 
2021/02/02 16:06 +0100, GMT+01, 12.3, 
2021/02/02 16:26 +0100, GMT+01, 12.5, 
2021/02/02 16:46 +0100, GMT+01, 12.1, 
2021/02/02 17:06 +0100, GMT+01, 16.5, 
2021/02/02 17:26 +0100, GMT+01, 16.4, 
2021/02/02 17:46 +0100, GMT+01, 16.1, 0
2021/02/02 18:06 +0100, GMT+01, 15.8, 0.00001
2021/02/02 18:26 +0100, GMT+01, 15.5, 0.00053
2021/02/02 18:46 +0100, GMT+01, 15.1, 0.00295
2021/02/02 19:06 +0100, GMT+01, 14.9, 0.00862
2021/02/02 19:26 +0100, GMT+01, 14.7, 0.01841
2021/02/02 19:46 +0100, GMT+01, 14.5, 0.03272
2021/02/02 20:06 +0100, GMT+01, 14.3, 0.05167
2021/02/02 20:26 +0100, GMT+01, 14.2, 0.07521
2021/02/02 20:46 +0100, GMT+01, 14, 0.10318
2021/02/02 21:06 +0100, GMT+01, 13.9, 0.13533
2021/02/02 21:26 +0100, GMT+01, 13.8, 0.17151
2021/02/02 21:46 +0100, GMT+01, 13.8, 0.21162
2021/02/02 22:06 +0100, GMT+01, 13.7, 0.25542
2021/02/02 22:26 +0100, GMT+01, 13.6, 0.30254
2021/02/02 22:46 +0100, GMT+01, 13.6, 0.35288
2021/02/02 23:06 +0100, GMT+01, 13.6, 0.40643
2021/02/02 23:26 +0100, GMT+01, 13.6, 0.46301
2021/02/02 23:46 +0100, GMT+01, 13.6, 0.52245
2021/02/03 00:06 +0100, GMT+01, 13.5, 0.58437
2021/02/03 00:26 +0100, GMT+01, 13.5, 0.64859
2021/02/03 00:46 +0100, GMT+01, 13.5, 0.71518
2021/02/03 01:06 +0100, GMT+01, 13.5, 0.784
2021/02/03 01:26 +0100, GMT+01, 13.5, 0.85492
2021/02/03 01:46 +0100, GMT+01, 13.5, 0.92781
2021/02/03 02:06 +0100, GMT+01, 13.5, 1.00257
2021/02/03 02:26 +0100, GMT+01, 13.6, 1.07934
2021/02/03 02:46 +0100, GMT+01, 13.6, 1.15804
2021/02/03 03:06 +0100, GMT+01, 13.6, 1.23832
2021/02/03 03:26 +0100, GMT+01, 13.8, 1.3207
2021/02/03 03:46 +0100, GMT+01, 13.9, 1.40528
2021/02/03 04:06 +0100, GMT+01, 14, 1.49179
2021/02/03 04:26 +0100, GMT+01, 14.1, 1.58018
2021/02/03 04:46 +0100, GMT+01, 14.2, 1.67039
2021/02/03 05:06 +0100, GMT+01, 14.3, 1.76238
2021/02/03 05:26 +0100, GMT+01, 14.3, 1.85578
2021/02/03 05:46 +0100, GMT+01, 14.3, 1.95022
2021/02/03 06:06 +0100, GMT+01, 14.4, 2.04595
2021/02/03 06:26 +0100, GMT+01, 14.4, 2.14292
2021/02/03 06:46 +0100, GMT+01, 14.3, 2.24042
2021/02/03 07:06 +0100, GMT+01, 14.3, 2.33841
2021/02/03 07:26 +0100, GMT+01, 14.2, 2.4368
2021/02/03 07:46 +0100, GMT+01, 14.2, 2.53556
2021/02/03 08:06 +0100, GMT+01, 14.1, 2.63463
2021/02/03 08:26 +0100, GMT+01, 14.1, 2.73396
2021/02/03 08:46 +0100, GMT+01, 14, 2.8335
2021/02/03 09:06 +0100, GMT+01, 14, 2.93321
2021/02/03 09:26 +0100, GMT+01, 13.9, 3.03306
2021/02/03 09:46 +0100, GMT+01, 13.9, 3.133
2021/02/03 10:06 +0100, GMT+01, 13.9, 3.23334
2021/02/03 10:26 +0100, GMT+01, 13.8, 3.33371
2021/02/03 10:46 +0100, GMT+01, 13.7, 3.43374
2021/02/03 11:06 +0100, GMT+01, 13.6, 3.53348
2021/02/03 11:26 +0100, GMT+01, 13.6, 3.63308
2021/02/03 11:46 +0100, GMT+01, 13.6, 3.73294
2021/02/03 12:06 +0100, GMT+01, 13.7, 3.83337
2021/02/03 12:26 +0100, GMT+01, 13.7, 3.93435
2021/02/03 12:46 +0100, GMT+01, 13.7, 4.03552
2021/02/03 13:06 +0100, GMT+01, 13.6, 4.13653
2021/02/03 13:26 +0100, GMT+01, 13.6, 4.23735
2021/02/03 13:46 +0100, GMT+01, 13.6, 4.33832
2021/02/03 14:06 +0100, GMT+01, 13.7, 4.43975
2021/02/03 14:26 +0100, GMT+01, 13.8, 4.54197
2021/02/03 14:46 +0100, GMT+01, 13.8, 4.64463
2021/02/03 15:06 +0100, GMT+01, 13.8, 4.74738
2021/02/03 15:26 +0100, GMT+01, 13.8, 4.85019
2021/02/03 15:46 +0100, GMT+01, 13.8, 4.95305
2021/02/03 16:06 +0100, GMT+01, 13.8, 5.05596
2021/02/03 16:26 +0100, GMT+01, 13.7, 5.15855
2021/02/03 16:46 +0100, GMT+01, 13.6, 5.26048
2021/02/03 17:06 +0100, GMT+01, 13.6, 5.36206
2021/02/03 17:26 +0100, GMT+01, 13.5, 5.4633
2021/02/03 17:46 +0100, GMT+01, 13.3, 5.56351
2021/02/03 18:06 +0100, GMT+01, 13.2, 5.66268
2021/02/03 18:26 +0100, GMT+01, 13.1, 5.76122
2021/02/03 18:46 +0100, GMT+01, 12.9, 5.85864
2021/02/03 19:06 +0100, GMT+01, 12.8, 5.95501
2021/02/03 19:26 +0100, GMT+01, 12.6, 6.05034
2021/02/03 19:46 +0100, GMT+01, 12.5, 6.14463
2021/02/03 20:06 +0100, GMT+01, 12.3, 6.23787
2021/02/03 20:26 +0100, GMT+01, 12.1, 6.32974
2021/02/03 20:46 +0100, GMT+01, 12, 6.42058
2021/02/03 21:06 +0100, GMT+01, 11.8, 6.51039
2021/02/03 21:26 +0100, GMT+01, 11.6, 6.59884
2021/02/03 21:46 +0100, GMT+01, 11.5, 6.68627
2021/02/03 22:06 +0100, GMT+01, 11.4, 6.773
2021/02/03 22:26 +0100, GMT+01, 11.2, 6.8587
2021/02/03 22:46 +0100, GMT+01, 11.1, 6.9434
2021/02/03 23:06 +0100, GMT+01, 11, 7.02739
2021/02/03 23:26 +0100, GMT+01, 10.8, 7.11038
2021/02/03 23:46 +0100, GMT+01, 10.7, 7.19237
2021/02/04 00:06 +0100, GMT+01, 10.6, 7.27366
2021/02/04 00:26 +0100, GMT+01, 10.5, 7.35427
2021/02/04 00:46 +0100, GMT+01, 10.4, 7.43419
2021/02/04 01:06 +0100, GMT+01, 10.3, 7.51343
2021/02/04 01:26 +0100, GMT+01, 10.2, 7.59198
2021/02/04 01:46 +0100, GMT+01, 10.1, 7.66992
2021/02/04 02:06 +0100, GMT+01, 10, 7.74712
2021/02/04 02:26 +0100, GMT+01, 10, 7.82393
2021/02/04 02:46 +0100, GMT+01, 9.8, 7.90008
2021/02/04 03:06 +0100, GMT+01, 9.7, 7.97526
2021/02/04 03:26 +0100, GMT+01, 9.6, 8.04978
2021/02/04 03:46 +0100, GMT+01, 9.6, 8.12392
2021/02/04 04:06 +0100, GMT+01, 9.5, 8.19769
2021/02/04 04:26 +0100, GMT+01, 9.4, 8.2708
2021/02/04 04:46 +0100, GMT+01, 9.3, 8.34325
2021/02/04 05:06 +0100, GMT+01, 9.2, 8.41505
2021/02/04 05:26 +0100, GMT+01, 9.1, 8.48619
2021/02/04 05:46 +0100, GMT+01, 9.1, 8.55698
2021/02/04 06:06 +0100, GMT+01, 9, 8.62739
2021/02/04 06:26 +0100, GMT+01, 8.9, 8.69717
2021/02/04 06:46 +0100, GMT+01, 8.8, 8.7663
2021/02/04 07:06 +0100, GMT+01, 8.8, 8.83508
2021/02/04 07:26 +0100, GMT+01, 8.6, 8.90322
2021/02/04 07:46 +0100, GMT+01, 8.6, 8.97073
2021/02/04 08:06 +0100, GMT+01, 8.5, 9.03788
2021/02/04 08:26 +0100, GMT+01, 8.4, 9.10441
2021/02/04 08:46 +0100, GMT+01, 8.3, 9.17032
2021/02/04 09:06 +0100, GMT+01, 8.3, 9.23593
2021/02/04 09:26 +0100, GMT+01, 8.2, 9.30114
2021/02/04 09:46 +0100, GMT+01, 8.2, 9.366
2021/02/04 10:06 +0100, GMT+01, 8.1, 9.43052
2021/02/04 10:26 +0100, GMT+01, 8.1, 9.4947
2021/02/04 10:46 +0100, GMT+01, 8.1, 9.55879
2021/02/04 11:06 +0100, GMT+01, 8.1, 9.62281
2021/02/04 11:26 +0100, GMT+01, 8.2, 9.68701
2021/02/04 11:46 +0100, GMT+01, 8.3, 9.75167
2021/02/04 12:06 +0100, GMT+01, 8.3, 9.81651
2021/02/04 12:26 +0100, GMT+01, 8.3, 9.88127
2021/02/04 12:46 +0100, GMT+01, 8.4, 9.94622
2021/02/04 13:06 +0100, GMT+01, 8.5, 10.01161
2021/02/04 13:26 +0100, GMT+01, 8.5, 10.07719
2021/02/04 13:46 +0100, GMT+01, 8.5, 10.14268
2021/02/04 14:06 +0100, GMT+01, 8.6, 10.20835
2021/02/04 14:26 +0100, GMT+01, 8.6, 10.2742
2021/02/04 14:46 +0100, GMT+01, 8.6, 10.33996
2021/02/04 15:06 +0100, GMT+01, 8.7, 10.4059
2021/02/04 15:26 +0100, GMT+01, 8.7, 10.47202
2021/02/04 15:46 +0100, GMT+01, 8.8, 10.53831
2021/02/04 16:06 +0100, GMT+01, 8.8, 10.60479
2021/02/04 16:26 +0100, GMT+01, 8.9, 10.67149
2021/02/04 16:46 +0100, GMT+01, 8.9, 10.73831
2021/02/04 17:06 +0100, GMT+01, 9, 10.80531
2021/02/04 17:26 +0100, GMT+01, 9, 10.87247
2021/02/04 17:46 +0100, GMT+01, 9, 10.93955
2021/02/04 18:06 +0100, GMT+01, 9, 11.00652
2021/02/04 18:26 +0100, GMT+01, 9.1, 11.07367
2021/02/04 18:46 +0100, GMT+01, 9.1, 11.14099
2021/02/04 19:06 +0100, GMT+01, 9.1, 11.20821
2021/02/04 19:26 +0100, GMT+01, 9.1, 11.27533
2021/02/04 19:46 +0100, GMT+01, 9.1, 11.34236
2021/02/04 20:06 +0100, GMT+01, 9.1, 11.40928
2021/02/04 20:26 +0100, GMT+01, 9.1, 11.47611
2021/02/04 20:46 +0100, GMT+01, 9.1, 11.54284
2021/02/04 21:06 +0100, GMT+01, 9.1, 11.60946
2021/02/04 21:26 +0100, GMT+01, 9.1, 11.676
2021/02/04 21:46 +0100, GMT+01, 9.1, 11.74243
2021/02/04 22:06 +0100, GMT+01, 9.1, 11.80876
2021/02/04 22:26 +0100, GMT+01, 9.1, 11.87499
2021/02/04 22:46 +0100, GMT+01, 9.1, 11.94113
2021/02/04 23:06 +0100, GMT+01, 9.1, 12.00716
2021/02/04 23:26 +0100, GMT+01, 9.1, 12.0731
2021/02/04 23:46 +0100, GMT+01, 9.1, 12.13899
2021/02/05 00:06 +0100, GMT+01, 9, 12.20447
2021/02/05 00:26 +0100, GMT+01, 9, 12.26959
2021/02/05 00:46 +0100, GMT+01, 9, 12.33461
2021/02/05 01:06 +0100, GMT+01, 8.9, 12.39928
