time, timezone, temperature, strength
2021/02/22 11:24 +0100, GMT+01, 13.3, 
2021/02/22 11:44 +0100, GMT+01, 11.2, 
2021/02/22 12:04 +0100, GMT+01, 11.1, 
2021/02/22 12:24 +0100, GMT+01, 11.1, 
2021/02/22 12:44 +0100, GMT+01, 11.1, 
2021/02/22 13:04 +0100, GMT+01, 11.2, 
2021/02/22 13:24 +0100, GMT+01, 11.4, 
2021/02/22 13:44 +0100, GMT+01, 11.2, 
2021/02/22 14:04 +0100, GMT+01, 10.5, 
2021/02/22 14:24 +0100, GMT+01, 9.9, 
2021/02/22 14:44 +0100, GMT+01, 9.7, 
2021/02/22 15:04 +0100, GMT+01, 9.8, 
2021/02/22 15:24 +0100, GMT+01, 10, 
2021/02/22 15:44 +0100, GMT+01, 10.2, 
2021/02/22 16:04 +0100, GMT+01, 10.4, 0
2021/02/22 16:24 +0100, GMT+01, 10.3, 0
2021/02/22 16:44 +0100, GMT+01, 17, 0.00015
2021/02/22 17:04 +0100, GMT+01, 17.6, 0.00185
2021/02/22 17:24 +0100, GMT+01, 17.5, 0.00743
2021/02/22 17:44 +0100, GMT+01, 17.2, 0.01851
2021/02/22 18:04 +0100, GMT+01, 17, 0.0358
2021/02/22 18:24 +0100, GMT+01, 16.8, 0.05951
2021/02/22 18:44 +0100, GMT+01, 16.6, 0.08946
2021/02/22 19:04 +0100, GMT+01, 16.4, 0.12532
2021/02/22 19:24 +0100, GMT+01, 16.2, 0.16664
2021/02/22 19:44 +0100, GMT+01, 16.1, 0.2131
2021/02/22 20:04 +0100, GMT+01, 15.9, 0.26427
2021/02/22 20:24 +0100, GMT+01, 15.8, 0.31972
2021/02/22 20:44 +0100, GMT+01, 15.6, 0.37903
2021/02/22 21:04 +0100, GMT+01, 15.5, 0.44183
2021/02/22 21:24 +0100, GMT+01, 15.5, 0.50818
2021/02/22 21:44 +0100, GMT+01, 15.4, 0.57781
2021/02/22 22:04 +0100, GMT+01, 15.4, 0.65047
2021/02/22 22:24 +0100, GMT+01, 15.5, 0.72641
2021/02/22 22:44 +0100, GMT+01, 15.5, 0.80545
2021/02/22 23:04 +0100, GMT+01, 15.5, 0.88717
2021/02/22 23:24 +0100, GMT+01, 15.6, 0.97166
2021/02/22 23:44 +0100, GMT+01, 15.6, 1.05879
2021/02/23 00:04 +0100, GMT+01, 15.6, 1.14812
2021/02/23 00:24 +0100, GMT+01, 15.6, 1.23951
2021/02/23 00:44 +0100, GMT+01, 15.6, 1.33282
2021/02/23 01:04 +0100, GMT+01, 15.6, 1.42793
2021/02/23 01:24 +0100, GMT+01, 15.6, 1.5247
2021/02/23 01:44 +0100, GMT+01, 15.6, 1.62303
2021/02/23 02:04 +0100, GMT+01, 15.6, 1.72289
2021/02/23 02:24 +0100, GMT+01, 15.6, 1.82403
2021/02/23 02:44 +0100, GMT+01, 15.6, 1.92642
2021/02/23 03:04 +0100, GMT+01, 15.6, 2.02998
2021/02/23 03:24 +0100, GMT+01, 15.6, 2.13463
2021/02/23 03:44 +0100, GMT+01, 15.5, 2.23996
2021/02/23 04:04 +0100, GMT+01, 15.5, 2.34589
2021/02/23 04:24 +0100, GMT+01, 15.5, 2.45268
2021/02/23 04:44 +0100, GMT+01, 15.5, 2.56027
2021/02/23 05:04 +0100, GMT+01, 15.4, 2.66826
2021/02/23 05:24 +0100, GMT+01, 15.3, 2.77624
2021/02/23 05:44 +0100, GMT+01, 15.2, 2.88415
2021/02/23 06:04 +0100, GMT+01, 15.1, 2.99193
2021/02/23 06:24 +0100, GMT+01, 14.9, 3.09919
2021/02/23 06:44 +0100, GMT+01, 14.7, 3.20554
2021/02/23 07:04 +0100, GMT+01, 14.6, 3.31126
2021/02/23 07:24 +0100, GMT+01, 14.4, 3.41633
2021/02/23 07:44 +0100, GMT+01, 14.2, 3.52036
2021/02/23 08:04 +0100, GMT+01, 14, 3.62333
2021/02/23 08:24 +0100, GMT+01, 13.8, 3.7252
2021/02/23 08:44 +0100, GMT+01, 13.6, 3.82595
2021/02/23 09:04 +0100, GMT+01, 13.5, 3.92589
2021/02/23 09:24 +0100, GMT+01, 13.4, 4.02544
2021/02/23 09:44 +0100, GMT+01, 13.2, 4.12406
