time, timezone, temperature, strength
2021/02/24 09:53 +0100, GMT+01, 18, 
2021/02/24 10:13 +0100, GMT+01, 14.5, 
2021/02/24 10:33 +0100, GMT+01, 15.8, 
2021/02/24 10:53 +0100, GMT+01, 15.7, 
2021/02/24 11:13 +0100, GMT+01, 15.1, 
2021/02/24 11:33 +0100, GMT+01, 14.8, 
2021/02/24 11:53 +0100, GMT+01, 15.5, 
2021/02/24 12:13 +0100, GMT+01, 15.8, 
2021/02/24 12:33 +0100, GMT+01, 16, 
2021/02/24 12:53 +0100, GMT+01, 15.6, 
2021/02/24 13:13 +0100, GMT+01, 15, 
2021/02/24 13:33 +0100, GMT+01, 14.8, 
2021/02/24 13:53 +0100, GMT+01, 14.9, 
2021/02/24 14:13 +0100, GMT+01, 15.3, 
2021/02/24 14:33 +0100, GMT+01, 15.5, 
2021/02/24 14:53 +0100, GMT+01, 15.4, 
2021/02/24 15:13 +0100, GMT+01, 15, 
2021/02/24 15:33 +0100, GMT+01, 13.3, 
2021/02/24 15:53 +0100, GMT+01, 18.5, 
2021/02/24 16:13 +0100, GMT+01, 18.5, 0
2021/02/24 16:33 +0100, GMT+01, 18.5, 0.00003
2021/02/24 16:53 +0100, GMT+01, 18.4, 0.0011
2021/02/24 17:13 +0100, GMT+01, 18.3, 0.00575
2021/02/24 17:33 +0100, GMT+01, 18.2, 0.01618
2021/02/24 17:53 +0100, GMT+01, 18.1, 0.03359
2021/02/24 18:13 +0100, GMT+01, 18, 0.05843
2021/02/24 18:33 +0100, GMT+01, 17.8, 0.0906
2021/02/24 18:53 +0100, GMT+01, 17.8, 0.12988
2021/02/24 19:13 +0100, GMT+01, 17.6, 0.17586
2021/02/24 19:33 +0100, GMT+01, 17.5, 0.22792
2021/02/24 19:53 +0100, GMT+01, 17.4, 0.28569
2021/02/24 20:13 +0100, GMT+01, 17.3, 0.34869
2021/02/24 20:33 +0100, GMT+01, 17.3, 0.41666
2021/02/24 20:53 +0100, GMT+01, 17.3, 0.48949
2021/02/24 21:13 +0100, GMT+01, 17.3, 0.56673
2021/02/24 21:33 +0100, GMT+01, 17.2, 0.64786
2021/02/24 21:53 +0100, GMT+01, 17.3, 0.73281
2021/02/24 22:13 +0100, GMT+01, 17.3, 0.82158
2021/02/24 22:33 +0100, GMT+01, 17.3, 0.91365
2021/02/24 22:53 +0100, GMT+01, 17.4, 1.00906
2021/02/24 23:13 +0100, GMT+01, 17.5, 1.10793
2021/02/24 23:33 +0100, GMT+01, 17.6, 1.21007
2021/02/24 23:53 +0100, GMT+01, 17.6, 1.31503
2021/02/25 00:13 +0100, GMT+01, 17.7, 1.42263
2021/02/25 00:33 +0100, GMT+01, 17.8, 1.53305
2021/02/25 00:53 +0100, GMT+01, 17.8, 1.64581
2021/02/25 01:13 +0100, GMT+01, 18, 1.76113
2021/02/25 01:33 +0100, GMT+01, 18.1, 1.87924
2021/02/25 01:53 +0100, GMT+01, 18.1, 1.99933
2021/02/25 02:13 +0100, GMT+01, 18.2, 2.12129
2021/02/25 02:33 +0100, GMT+01, 18.3, 2.24538
2021/02/25 02:53 +0100, GMT+01, 18.3, 2.37112
2021/02/25 03:13 +0100, GMT+01, 18.3, 2.49806
2021/02/25 03:33 +0100, GMT+01, 18.3, 2.62609
2021/02/25 03:53 +0100, GMT+01, 18.3, 2.75512
2021/02/25 04:13 +0100, GMT+01, 18.3, 2.88505
2021/02/25 04:33 +0100, GMT+01, 18.3, 3.01581
2021/02/25 04:53 +0100, GMT+01, 18.3, 3.14732
2021/02/25 05:13 +0100, GMT+01, 18.2, 3.27923
2021/02/25 05:33 +0100, GMT+01, 18.2, 3.41126
2021/02/25 05:53 +0100, GMT+01, 18.1, 3.54344
2021/02/25 06:13 +0100, GMT+01, 18.1, 3.67572
2021/02/25 06:33 +0100, GMT+01, 18.1, 3.80843
2021/02/25 06:53 +0100, GMT+01, 18.1, 3.94152
2021/02/25 07:13 +0100, GMT+01, 18, 4.07456
2021/02/25 07:33 +0100, GMT+01, 18, 4.2075
2021/02/25 07:53 +0100, GMT+01, 18, 4.34068
2021/02/25 08:13 +0100, GMT+01, 17.9, 4.47369
2021/02/25 08:33 +0100, GMT+01, 17.9, 4.60648
2021/02/25 08:53 +0100, GMT+01, 17.8, 4.73903
2021/02/25 09:13 +0100, GMT+01, 17.8, 4.8713
2021/02/25 09:33 +0100, GMT+01, 17.7, 5.00326
2021/02/25 09:53 +0100, GMT+01, 17.6, 5.1345
2021/02/25 10:13 +0100, GMT+01, 17.6, 5.26539
2021/02/25 10:33 +0100, GMT+01, 17.5, 5.3959
2021/02/25 10:53 +0100, GMT+01, 17.5, 5.52601
2021/02/25 11:13 +0100, GMT+01, 17.4, 5.6557
2021/02/25 11:33 +0100, GMT+01, 17.4, 5.78497
2021/02/25 11:53 +0100, GMT+01, 17.3, 5.91378
2021/02/25 12:13 +0100, GMT+01, 17.3, 6.04213
2021/02/25 12:33 +0100, GMT+01, 17.2, 6.17001
2021/02/25 12:53 +0100, GMT+01, 17.1, 6.29701
2021/02/25 13:13 +0100, GMT+01, 17.1, 6.42362
2021/02/25 13:33 +0100, GMT+01, 17.1, 6.55
2021/02/25 13:53 +0100, GMT+01, 17.1, 6.67624
2021/02/25 14:13 +0100, GMT+01, 17.1, 6.80233
2021/02/25 14:33 +0100, GMT+01, 17.1, 6.92826
2021/02/25 14:53 +0100, GMT+01, 17.1, 7.05402
2021/02/25 15:13 +0100, GMT+01, 17.1, 7.1796
2021/02/25 15:33 +0100, GMT+01, 17.1, 7.30499
2021/02/25 15:53 +0100, GMT+01, 17.1, 7.4302
2021/02/25 16:13 +0100, GMT+01, 17, 7.55482
2021/02/25 16:33 +0100, GMT+01, 17, 7.67886
2021/02/25 16:53 +0100, GMT+01, 17, 7.80269
2021/02/25 17:13 +0100, GMT+01, 16.9, 7.92592
2021/02/25 17:33 +0100, GMT+01, 16.8, 8.04819
2021/02/25 17:53 +0100, GMT+01, 16.7, 8.16949
2021/02/25 18:13 +0100, GMT+01, 16.6, 8.28982
2021/02/25 18:33 +0100, GMT+01, 16.5, 8.40919
2021/02/25 18:53 +0100, GMT+01, 16.3, 8.52724
2021/02/25 19:13 +0100, GMT+01, 16.3, 8.64433
2021/02/25 19:33 +0100, GMT+01, 16.1, 8.76047
2021/02/25 19:53 +0100, GMT+01, 16, 8.8753
2021/02/25 20:13 +0100, GMT+01, 15.9, 8.98918
2021/02/25 20:33 +0100, GMT+01, 15.8, 9.10213
2021/02/25 20:53 +0100, GMT+01, 15.6, 9.21379
2021/02/25 21:13 +0100, GMT+01, 15.6, 9.32461
2021/02/25 21:33 +0100, GMT+01, 15.5, 9.43476
2021/02/25 21:53 +0100, GMT+01, 15.3, 9.54364
2021/02/25 22:13 +0100, GMT+01, 15.1, 9.65092
2021/02/25 22:33 +0100, GMT+01, 15, 9.75696
2021/02/25 22:53 +0100, GMT+01, 14.9, 9.86209
2021/02/25 23:13 +0100, GMT+01, 14.7, 9.966
2021/02/25 23:33 +0100, GMT+01, 14.5, 10.06835
2021/02/25 23:53 +0100, GMT+01, 14.3, 10.16916
2021/02/26 00:13 +0100, GMT+01, 14.1, 10.26845
2021/02/26 00:33 +0100, GMT+01, 14, 10.36656
2021/02/26 00:53 +0100, GMT+01, 13.8, 10.46349
2021/02/26 01:13 +0100, GMT+01, 13.6, 10.55895
2021/02/26 01:33 +0100, GMT+01, 13.4, 10.65293
2021/02/26 01:53 +0100, GMT+01, 13.1, 10.74515
2021/02/26 02:13 +0100, GMT+01, 13, 10.83594
2021/02/26 02:33 +0100, GMT+01, 12.8, 10.92562
2021/02/26 02:53 +0100, GMT+01, 12.6, 11.0139
2021/02/26 03:13 +0100, GMT+01, 12.4, 11.10078
2021/02/26 03:33 +0100, GMT+01, 12.1, 11.18599
2021/02/26 03:53 +0100, GMT+01, 12, 11.26984
2021/02/26 04:13 +0100, GMT+01, 11.8, 11.35265
2021/02/26 04:33 +0100, GMT+01, 11.6, 11.43412
2021/02/26 04:53 +0100, GMT+01, 11.4, 11.51435
2021/02/26 05:13 +0100, GMT+01, 11.2, 11.59321
2021/02/26 05:33 +0100, GMT+01, 11.1, 11.67107
2021/02/26 05:53 +0100, GMT+01, 10.9, 11.74794
2021/02/26 06:13 +0100, GMT+01, 10.7, 11.82355
2021/02/26 06:33 +0100, GMT+01, 10.5, 11.8979
2021/02/26 06:53 +0100, GMT+01, 10.3, 11.97102
2021/02/26 07:13 +0100, GMT+01, 10.1, 12.04292
2021/02/26 07:33 +0100, GMT+01, 10, 12.11388
2021/02/26 07:53 +0100, GMT+01, 9.8, 12.18391
2021/02/26 08:13 +0100, GMT+01, 9.7, 12.25303
2021/02/26 08:33 +0100, GMT+01, 9.5, 12.32123
2021/02/26 08:53 +0100, GMT+01, 9.4, 12.38853
2021/02/26 09:13 +0100, GMT+01, 9.3, 12.4552
2021/02/26 09:33 +0100, GMT+01, 9.2, 12.52124
2021/02/26 09:53 +0100, GMT+01, 9.1, 12.58666
2021/02/26 10:13 +0100, GMT+01, 9.1, 12.65173
2021/02/26 10:33 +0100, GMT+01, 9.1, 12.71669
2021/02/26 10:53 +0100, GMT+01, 9, 12.7813
