time, timezone, temperature, strength
2021/03/01 11:08 +0100, GMT+01, 8.5, 
2021/03/01 11:27 +0100, GMT+01, 7.8, 
2021/03/01 11:47 +0100, GMT+01, 8.52, 
2021/03/01 12:07 +0100, GMT+01, 8.8, 
2021/03/01 12:27 +0100, GMT+01, 9.6, 
2021/03/01 12:47 +0100, GMT+01, 10.4, 
2021/03/01 13:07 +0100, GMT+01, 10.1, 
2021/03/01 13:27 +0100, GMT+01, 10.6, 
2021/03/01 13:47 +0100, GMT+01, 10.7, 
2021/03/01 14:07 +0100, GMT+01, 10.3, 
2021/03/01 14:27 +0100, GMT+01, 10.1, 
2021/03/01 14:47 +0100, GMT+01, 10.6, 
2021/03/01 15:07 +0100, GMT+01, 10.1, 
2021/03/01 15:27 +0100, GMT+01, 10.6, 
2021/03/01 15:47 +0100, GMT+01, 15.9, 
2021/03/01 16:07 +0100, GMT+01, 15.5, 0
2021/03/01 16:27 +0100, GMT+01, 15.6, 0.00001
2021/03/01 16:47 +0100, GMT+01, 15.6, 0.00049
2021/03/01 17:07 +0100, GMT+01, 15.5, 0.00289
2021/03/01 17:27 +0100, GMT+01, 15.3, 0.00871
2021/03/01 17:47 +0100, GMT+01, 15.1, 0.01888
2021/03/01 18:07 +0100, GMT+01, 14.9, 0.03383
2021/03/01 18:27 +0100, GMT+01, 14.6, 0.05361
2021/03/01 18:47 +0100, GMT+01, 14.4, 0.07802
2021/03/01 19:07 +0100, GMT+01, 14.1, 0.10679
2021/03/01 19:27 +0100, GMT+01, 13.9, 0.13958
2021/03/01 19:47 +0100, GMT+01, 13.7, 0.17614
2021/03/01 20:07 +0100, GMT+01, 13.5, 0.21616
2021/03/01 20:27 +0100, GMT+01, 13.3, 0.25929
2021/03/01 20:47 +0100, GMT+01, 13, 0.30506
2021/03/01 21:07 +0100, GMT+01, 12.8, 0.35314
2021/03/01 21:27 +0100, GMT+01, 12.6, 0.40341
2021/03/01 21:47 +0100, GMT+01, 12.5, 0.4558
2021/03/01 22:07 +0100, GMT+01, 12.3, 0.51009
2021/03/01 22:27 +0100, GMT+01, 12.1, 0.56589
2021/03/01 22:47 +0100, GMT+01, 12, 0.62319
2021/03/01 23:07 +0100, GMT+01, 11.8, 0.68183
2021/03/01 23:27 +0100, GMT+01, 11.7, 0.74165
2021/03/01 23:47 +0100, GMT+01, 11.6, 0.80272
2021/03/02 00:07 +0100, GMT+01, 11.5, 0.86494
2021/03/02 00:27 +0100, GMT+01, 11.5, 0.92841
2021/03/02 00:47 +0100, GMT+01, 11.4, 0.99304
2021/03/02 01:07 +0100, GMT+01, 11.3, 1.05852
2021/03/02 01:27 +0100, GMT+01, 11.2, 1.12474
2021/03/02 01:47 +0100, GMT+01, 11.1, 1.19168
2021/03/02 02:07 +0100, GMT+01, 11.1, 1.2594
2021/03/02 02:27 +0100, GMT+01, 11.1, 1.32814
2021/03/02 02:47 +0100, GMT+01, 11, 1.3976
2021/03/02 03:07 +0100, GMT+01, 11, 1.46771
2021/03/02 03:27 +0100, GMT+01, 11, 1.53869
2021/03/02 03:47 +0100, GMT+01, 11, 1.61048
2021/03/02 04:07 +0100, GMT+01, 11, 1.68306
2021/03/02 04:27 +0100, GMT+01, 11, 1.75638
2021/03/02 04:47 +0100, GMT+01, 11, 1.8304
2021/03/02 05:07 +0100, GMT+01, 11.1, 1.90536
2021/03/02 05:27 +0100, GMT+01, 11.1, 1.98125
2021/03/02 05:47 +0100, GMT+01, 11.1, 2.05774
2021/03/02 06:07 +0100, GMT+01, 11.2, 2.1351
2021/03/02 06:27 +0100, GMT+01, 11.2, 2.2133
2021/03/02 06:47 +0100, GMT+01, 11.2, 2.29202
2021/03/02 07:07 +0100, GMT+01, 11.3, 2.37154
2021/03/02 07:27 +0100, GMT+01, 11.3, 2.45182
2021/03/02 07:47 +0100, GMT+01, 11.3, 2.53256
2021/03/02 08:07 +0100, GMT+01, 11.3, 2.61372
2021/03/02 08:27 +0100, GMT+01, 11.3, 2.69529
2021/03/02 08:47 +0100, GMT+01, 11.3, 2.77724
2021/03/02 09:07 +0100, GMT+01, 11.3, 2.85961
2021/03/02 09:27 +0100, GMT+01, 11.3, 2.94225
2021/03/02 09:47 +0100, GMT+01, 11.3, 3.02521
2021/03/02 10:07 +0100, GMT+01, 11.3, 3.10847
2021/03/02 10:27 +0100, GMT+01, 11.2, 3.19171
2021/03/02 10:47 +0100, GMT+01, 11.2, 3.2749
2021/03/02 11:07 +0100, GMT+01, 11.1, 3.35802
