time, timezone, temperature, strength
2021/03/18 10:58 +0100, GMT+01, 10.6, 
2021/03/18 11:18 +0100, GMT+01, 8.5, 
2021/03/18 11:38 +0100, GMT+01, 7.6, 
2021/03/18 11:58 +0100, GMT+01, 7.5, 
2021/03/18 12:18 +0100, GMT+01, 8.1, 
2021/03/18 12:38 +0100, GMT+01, 8, 
2021/03/18 12:58 +0100, GMT+01, 8, 
2021/03/18 13:18 +0100, GMT+01, 8.1, 
2021/03/18 13:38 +0100, GMT+01, 8.5, 
2021/03/18 13:58 +0100, GMT+01, 8.6, 
2021/03/18 14:18 +0100, GMT+01, 8.5, 
2021/03/18 14:38 +0100, GMT+01, 8.9, 
2021/03/18 14:58 +0100, GMT+01, 8.8, 
2021/03/18 15:18 +0100, GMT+01, 8.3, 
2021/03/18 15:38 +0100, GMT+01, 9.1, 
2021/03/18 15:58 +0100, GMT+01, 9.3, 
2021/03/18 16:18 +0100, GMT+01, 8.5, 
2021/03/18 16:38 +0100, GMT+01, 8.1, 
2021/03/18 16:58 +0100, GMT+01, 8.1, 
2021/03/18 17:18 +0100, GMT+01, 8, 
2021/03/18 17:38 +0100, GMT+01, 8, 0
2021/03/18 17:58 +0100, GMT+01, 15.1, 0
2021/03/18 18:18 +0100, GMT+01, 15.2, 0.00025
2021/03/18 18:38 +0100, GMT+01, 15.1, 0.0019
2021/03/18 18:58 +0100, GMT+01, 15.1, 0.00645
2021/03/18 19:18 +0100, GMT+01, 15.1, 0.01508
2021/03/18 19:38 +0100, GMT+01, 15, 0.02844
2021/03/18 19:58 +0100, GMT+01, 15, 0.04687
2021/03/18 20:18 +0100, GMT+01, 14.9, 0.07047
2021/03/18 20:38 +0100, GMT+01, 14.9, 0.09916
2021/03/18 20:58 +0100, GMT+01, 14.9, 0.1329
2021/03/18 21:18 +0100, GMT+01, 14.9, 0.17152
2021/03/18 21:38 +0100, GMT+01, 14.9, 0.2148
2021/03/18 21:58 +0100, GMT+01, 14.9, 0.26251
2021/03/18 22:18 +0100, GMT+01, 15, 0.31461
2021/03/18 22:38 +0100, GMT+01, 15.1, 0.37107
2021/03/18 22:58 +0100, GMT+01, 15.2, 0.43173
2021/03/18 23:18 +0100, GMT+01, 15.3, 0.49644
2021/03/18 23:38 +0100, GMT+01, 15.5, 0.56526
2021/03/18 23:58 +0100, GMT+01, 15.6, 0.63807
2021/03/19 00:18 +0100, GMT+01, 15.8, 0.71473
2021/03/19 00:38 +0100, GMT+01, 16, 0.7954
2021/03/19 00:58 +0100, GMT+01, 16.2, 0.87998
2021/03/19 01:18 +0100, GMT+01, 16.4, 0.96838
2021/03/19 01:38 +0100, GMT+01, 16.6, 1.06051
2021/03/19 01:58 +0100, GMT+01, 16.8, 1.15629
2021/03/19 02:18 +0100, GMT+01, 17, 1.25564
2021/03/19 02:38 +0100, GMT+01, 17.3, 1.35887
2021/03/19 02:58 +0100, GMT+01, 17.5, 1.46576
2021/03/19 03:18 +0100, GMT+01, 17.8, 1.57632
2021/03/19 03:38 +0100, GMT+01, 18.1, 1.69084
2021/03/19 03:58 +0100, GMT+01, 18.3, 1.80894
2021/03/19 04:18 +0100, GMT+01, 18.6, 1.93056
2021/03/19 04:38 +0100, GMT+01, 18.8, 2.05563
2021/03/19 04:58 +0100, GMT+01, 19, 2.18373
2021/03/19 05:18 +0100, GMT+01, 19.1, 2.3144
2021/03/19 05:38 +0100, GMT+01, 19.1, 2.44681
2021/03/19 05:58 +0100, GMT+01, 19.1, 2.58046
2021/03/19 06:18 +0100, GMT+01, 19, 2.71486
2021/03/19 06:38 +0100, GMT+01, 19, 2.84988
2021/03/19 06:58 +0100, GMT+01, 18.9, 2.98544
2021/03/19 07:18 +0100, GMT+01, 18.8, 3.12104
2021/03/19 07:38 +0100, GMT+01, 18.7, 3.25659
2021/03/19 07:58 +0100, GMT+01, 18.5, 3.39163
2021/03/19 08:18 +0100, GMT+01, 18.4, 3.52607
2021/03/19 08:38 +0100, GMT+01, 18.2, 3.65985
2021/03/19 08:58 +0100, GMT+01, 18.1, 3.7929
2021/03/19 09:18 +0100, GMT+01, 17.9, 3.92517
2021/03/19 09:38 +0100, GMT+01, 17.7, 4.05622
2021/03/19 09:58 +0100, GMT+01, 17.5, 4.18611
2021/03/19 10:18 +0100, GMT+01, 17.4, 4.31499
2021/03/19 10:38 +0100, GMT+01, 17.3, 4.44329
2021/03/19 10:58 +0100, GMT+01, 17.3, 4.57139
2021/03/19 11:18 +0100, GMT+01, 17.2, 4.69924
2021/03/19 11:38 +0100, GMT+01, 17.2, 4.82682
2021/03/19 11:58 +0100, GMT+01, 17.2, 4.95449
2021/03/19 12:18 +0100, GMT+01, 17.1, 5.08184
2021/03/19 12:38 +0100, GMT+01, 17.1, 5.20885
2021/03/19 12:58 +0100, GMT+01, 17.1, 5.33588
2021/03/19 13:18 +0100, GMT+01, 17, 5.46253
2021/03/19 13:38 +0100, GMT+01, 17.1, 5.58916
2021/03/19 13:58 +0100, GMT+01, 17.1, 5.71613
2021/03/19 14:18 +0100, GMT+01, 17.1, 5.84306
2021/03/19 14:38 +0100, GMT+01, 17.2, 5.9703
2021/03/19 14:58 +0100, GMT+01, 17.3, 6.09823
2021/03/19 15:18 +0100, GMT+01, 17.3, 6.22645
2021/03/19 15:38 +0100, GMT+01, 17.3, 6.35455
