time, timezone, temperature, strength
2021/03/27 11:49 +0100, GMT+01, 13.5, 
2021/03/27 12:09 +0100, GMT+01, 8.4, 
2021/03/27 12:29 +0100, GMT+01, 8.7, 
2021/03/27 12:49 +0100, GMT+01, 9.2, 
2021/03/27 13:09 +0100, GMT+01, 9.1, 0
2021/03/27 13:29 +0100, GMT+01, 15.5, 0
2021/03/27 13:49 +0100, GMT+01, 15.6, 0.0003
2021/03/27 14:09 +0100, GMT+01, 15.6, 0.0022
2021/03/27 14:29 +0100, GMT+01, 15.6, 0.00733
2021/03/27 14:49 +0100, GMT+01, 15.5, 0.01689
2021/03/27 15:09 +0100, GMT+01, 15.3, 0.03144
2021/03/27 15:29 +0100, GMT+01, 15.2, 0.05119
2021/03/27 15:49 +0100, GMT+01, 15.1, 0.07618
2021/03/27 16:09 +0100, GMT+01, 15, 0.10628
2021/03/27 16:29 +0100, GMT+01, 15, 0.14137
2021/03/27 16:49 +0100, GMT+01, 14.9, 0.18122
2021/03/27 17:09 +0100, GMT+01, 14.8, 0.2254
2021/03/27 17:29 +0100, GMT+01, 14.8, 0.27378
2021/03/27 17:49 +0100, GMT+01, 14.7, 0.32608
2021/03/27 18:09 +0100, GMT+01, 14.6, 0.38184
2021/03/27 18:29 +0100, GMT+01, 14.6, 0.44097
2021/03/27 18:49 +0100, GMT+01, 14.6, 0.50344
2021/03/27 19:09 +0100, GMT+01, 14.6, 0.56906
2021/03/27 19:29 +0100, GMT+01, 14.6, 0.63761
2021/03/27 19:49 +0100, GMT+01, 14.6, 0.70894
2021/03/27 20:09 +0100, GMT+01, 14.6, 0.78286
2021/03/27 20:29 +0100, GMT+01, 14.6, 0.85921
2021/03/27 20:49 +0100, GMT+01, 14.6, 0.93784
2021/03/27 21:09 +0100, GMT+01, 14.6, 1.01861
2021/03/27 21:29 +0100, GMT+01, 14.6, 1.10146
2021/03/27 21:49 +0100, GMT+01, 14.6, 1.18611
2021/03/27 22:09 +0100, GMT+01, 14.7, 1.27281
2021/03/27 22:29 +0100, GMT+01, 14.7, 1.36145
2021/03/27 22:49 +0100, GMT+01, 14.8, 1.45196
2021/03/27 23:09 +0100, GMT+01, 14.9, 1.54454
2021/03/27 23:29 +0100, GMT+01, 15, 1.63912
2021/03/27 23:49 +0100, GMT+01, 15, 1.73535
2021/03/28 00:09 +0100, GMT+01, 15.1, 1.83312
2021/03/28 00:29 +0100, GMT+01, 15.2, 1.93271
2021/03/28 00:49 +0100, GMT+01, 15.3, 2.03404
2021/03/28 01:09 +0100, GMT+01, 15.5, 2.13741
2021/03/28 01:29 +0100, GMT+01, 15.6, 2.24276
2021/03/28 01:49 +0100, GMT+01, 15.6, 2.34939
2021/03/28 03:09 +0200, GMT+02, 15.8, 2.45757
2021/03/28 03:29 +0200, GMT+02, 15.8, 2.56727
2021/03/28 03:49 +0200, GMT+02, 15.8, 2.67773
2021/03/28 04:09 +0200, GMT+02, 15.8, 2.7889
2021/03/28 04:29 +0200, GMT+02, 15.8, 2.90072
2021/03/28 04:49 +0200, GMT+02, 15.8, 3.01315
2021/03/28 05:09 +0200, GMT+02, 15.8, 3.12613
2021/03/28 05:29 +0200, GMT+02, 15.7, 3.23927
2021/03/28 05:49 +0200, GMT+02, 15.7, 3.35251
2021/03/28 06:09 +0200, GMT+02, 15.6, 3.46581
2021/03/28 06:29 +0200, GMT+02, 15.5, 3.57888
2021/03/28 06:49 +0200, GMT+02, 15.5, 3.69183
2021/03/28 07:09 +0200, GMT+02, 15.4, 3.80473
2021/03/28 07:29 +0200, GMT+02, 15.4, 3.91755
2021/03/28 07:49 +0200, GMT+02, 15.3, 4.03026
2021/03/28 08:09 +0200, GMT+02, 15.3, 4.14282
2021/03/28 08:29 +0200, GMT+02, 15.2, 4.25522
2021/03/28 08:49 +0200, GMT+02, 15.1, 4.36707
2021/03/28 09:09 +0200, GMT+02, 15.1, 4.4787
2021/03/28 09:29 +0200, GMT+02, 15.1, 4.59046
2021/03/28 09:49 +0200, GMT+02, 15, 4.70196
2021/03/28 10:09 +0200, GMT+02, 15, 4.81319
2021/03/28 10:29 +0200, GMT+02, 15, 4.92449
2021/03/28 10:49 +0200, GMT+02, 15, 5.03584
2021/03/28 11:09 +0200, GMT+02, 15, 5.14723
2021/03/28 11:29 +0200, GMT+02, 15, 5.25865
2021/03/28 11:49 +0200, GMT+02, 15, 5.37007
2021/03/28 12:09 +0200, GMT+02, 15.1, 5.48185
2021/03/28 12:29 +0200, GMT+02, 15.1, 5.59398
2021/03/28 12:49 +0200, GMT+02, 15.2, 5.70643
2021/03/28 13:09 +0200, GMT+02, 15.3, 5.81957
2021/03/28 13:29 +0200, GMT+02, 15.3, 5.93303
2021/03/28 13:49 +0200, GMT+02, 15.4, 6.04678
2021/03/28 14:09 +0200, GMT+02, 15.5, 6.16119
2021/03/28 14:29 +0200, GMT+02, 15.5, 6.27597
2021/03/28 14:49 +0200, GMT+02, 15.6, 6.39093
2021/03/28 15:09 +0200, GMT+02, 15.7, 6.50651
2021/03/28 15:29 +0200, GMT+02, 15.8, 6.62271
2021/03/28 15:49 +0200, GMT+02, 15.8, 6.73915
2021/03/28 16:09 +0200, GMT+02, 15.9, 6.85583
2021/03/28 16:29 +0200, GMT+02, 16, 6.9731
2021/03/28 16:49 +0200, GMT+02, 16, 7.09059
2021/03/28 17:09 +0200, GMT+02, 16, 7.20792
2021/03/28 17:29 +0200, GMT+02, 16.1, 7.32545
2021/03/28 17:49 +0200, GMT+02, 16.1, 7.44318
2021/03/28 18:09 +0200, GMT+02, 16.1, 7.56072
2021/03/28 18:29 +0200, GMT+02, 16.2, 7.67845
2021/03/28 18:48 +0200, GMT+02, 16.2, 7.794
2021/03/28 19:08 +0200, GMT+02, 16.2, 7.91171
2021/03/28 19:28 +0200, GMT+02, 16.2, 8.02921
2021/03/28 19:48 +0200, GMT+02, 16.2, 8.14651
2021/03/28 20:08 +0200, GMT+02, 16.1, 8.26323
2021/03/28 20:28 +0200, GMT+02, 16.1, 8.37938
2021/03/28 20:48 +0200, GMT+02, 16.1, 8.49531
2021/03/28 21:08 +0200, GMT+02, 16, 8.61065
2021/03/28 21:28 +0200, GMT+02, 16, 8.72542
2021/03/28 21:48 +0200, GMT+02, 15.9, 8.8396
2021/03/28 22:08 +0200, GMT+02, 15.8, 8.95285
2021/03/28 22:28 +0200, GMT+02, 15.7, 9.06516
2021/03/28 22:48 +0200, GMT+02, 15.6, 9.17654
2021/03/28 23:08 +0200, GMT+02, 15.5, 9.287
2021/03/28 23:28 +0200, GMT+02, 15.5, 9.39688
2021/03/28 23:48 +0200, GMT+02, 15.4, 9.50619
2021/03/29 00:08 +0200, GMT+02, 15.3, 9.61458
2021/03/29 00:28 +0200, GMT+02, 15.2, 9.72206
2021/03/29 00:48 +0200, GMT+02, 15.1, 9.82862
2021/03/29 01:08 +0200, GMT+02, 15.1, 9.93463
2021/03/29 01:28 +0200, GMT+02, 15, 10.04008
2021/03/29 01:48 +0200, GMT+02, 14.9, 10.14463
2021/03/29 02:08 +0200, GMT+02, 14.8, 10.24828
2021/03/29 02:28 +0200, GMT+02, 14.8, 10.35138
2021/03/29 02:48 +0200, GMT+02, 14.8, 10.45427
2021/03/29 03:08 +0200, GMT+02, 14.6, 10.55627
2021/03/29 03:28 +0200, GMT+02, 14.6, 10.6574
2021/03/29 03:48 +0200, GMT+02, 14.6, 10.75831
2021/03/29 04:08 +0200, GMT+02, 14.5, 10.85867
2021/03/29 04:28 +0200, GMT+02, 14.5, 10.95858
2021/03/29 04:48 +0200, GMT+02, 14.4, 11.05787
2021/03/29 05:08 +0200, GMT+02, 14.3, 11.15629
2021/03/29 05:28 +0200, GMT+02, 14.3, 11.25419
2021/03/29 05:48 +0200, GMT+02, 14.2, 11.35155
2021/03/29 06:08 +0200, GMT+02, 14.1, 11.44806
2021/03/29 06:28 +0200, GMT+02, 14.1, 11.54405
2021/03/29 06:48 +0200, GMT+02, 14.1, 11.63983
2021/03/29 07:08 +0200, GMT+02, 14, 11.7351
2021/03/29 07:28 +0200, GMT+02, 14, 11.82984
2021/03/29 07:48 +0200, GMT+02, 14, 11.92439
2021/03/29 08:08 +0200, GMT+02, 13.9, 12.01841
2021/03/29 08:28 +0200, GMT+02, 13.9, 12.11193
2021/03/29 08:48 +0200, GMT+02, 13.8, 12.20493
2021/03/29 09:08 +0200, GMT+02, 13.8, 12.29742
2021/03/29 09:28 +0200, GMT+02, 13.8, 12.38972
2021/03/29 09:48 +0200, GMT+02, 13.8, 12.48182
2021/03/29 10:08 +0200, GMT+02, 13.8, 12.57373
2021/03/29 10:28 +0200, GMT+02, 13.8, 12.66544
2021/03/29 10:48 +0200, GMT+02, 13.8, 12.75695
2021/03/29 11:08 +0200, GMT+02, 13.8, 12.84827
2021/03/29 11:28 +0200, GMT+02, 13.8, 12.93939
