time, timezone, temperature, strength
2020/09/25 16:48 +0200, GMT+02, 14.3, 
2020/09/25 17:06 +0200, GMT+02, 14.3, 
2020/09/25 17:26 +0200, GMT+02, 14.5, 
2020/09/25 17:46 +0200, GMT+02, 16.3, 
2020/09/25 18:06 +0200, GMT+02, 14.9, 
2020/09/25 18:26 +0200, GMT+02, 14.2, 
2020/09/25 18:46 +0200, GMT+02, 13.9, 
2020/09/25 19:06 +0200, GMT+02, 13.5, 
2020/09/25 19:26 +0200, GMT+02, 13.3, 
2020/09/25 19:46 +0200, GMT+02, 12.9, 
2020/09/25 20:06 +0200, GMT+02, 12.5, 
2020/09/25 20:26 +0200, GMT+02, 12.3, 
2020/09/25 20:46 +0200, GMT+02, 12.1, 
2020/09/25 21:06 +0200, GMT+02, 11.9, 
2020/09/25 21:26 +0200, GMT+02, 11.8, 
2020/09/25 21:46 +0200, GMT+02, 11.7, 
2020/09/25 22:06 +0200, GMT+02, 11.6, 
2020/09/25 22:26 +0200, GMT+02, 11.4, 
2020/09/25 22:46 +0200, GMT+02, 11.5, 
2020/09/25 23:06 +0200, GMT+02, 11.3, 
2020/09/25 23:26 +0200, GMT+02, 11, 
2020/09/25 23:46 +0200, GMT+02, 10.8, 
2020/09/26 00:06 +0200, GMT+02, 10.5, 
2020/09/26 00:26 +0200, GMT+02, 10.3, 
2020/09/26 00:46 +0200, GMT+02, 10.1, 
2020/09/26 01:06 +0200, GMT+02, 10, 
2020/09/26 01:26 +0200, GMT+02, 9.8, 
2020/09/26 01:46 +0200, GMT+02, 9.6, 
2020/09/26 02:06 +0200, GMT+02, 9.3, 
2020/09/26 02:26 +0200, GMT+02, 9.1, 
2020/09/26 02:46 +0200, GMT+02, 9, 
2020/09/26 03:06 +0200, GMT+02, 8.8, 
2020/09/26 03:26 +0200, GMT+02, 8.7, 
2020/09/26 03:46 +0200, GMT+02, 8.5, 
2020/09/26 04:06 +0200, GMT+02, 8.1, 
2020/09/26 04:26 +0200, GMT+02, 8.1, 
2020/09/26 04:46 +0200, GMT+02, 7.9, 
2020/09/26 05:06 +0200, GMT+02, 7.8, 
2020/09/26 05:26 +0200, GMT+02, 7.6, 
2020/09/26 05:46 +0200, GMT+02, 7.6, 
2020/09/26 06:06 +0200, GMT+02, 7.5, 
2020/09/26 06:26 +0200, GMT+02, 7.4, 
2020/09/26 06:46 +0200, GMT+02, 7.3, 
2020/09/26 07:06 +0200, GMT+02, 7.1, 
2020/09/26 07:26 +0200, GMT+02, 7.1, 
2020/09/26 07:46 +0200, GMT+02, 7, 
2020/09/26 08:06 +0200, GMT+02, 6.9, 
2020/09/26 08:26 +0200, GMT+02, 6.9, 
2020/09/26 08:46 +0200, GMT+02, 7.2, 
2020/09/26 09:06 +0200, GMT+02, 8.1, 
2020/09/26 09:26 +0200, GMT+02, 11.4, 
2020/09/26 09:46 +0200, GMT+02, 13.1, 
2020/09/26 10:06 +0200, GMT+02, 13.1, 
2020/09/26 10:26 +0200, GMT+02, 14.5, 
2020/09/26 10:46 +0200, GMT+02, 14.6, 
2020/09/26 11:06 +0200, GMT+02, 16.1, 
2020/09/26 11:26 +0200, GMT+02, 15, 
2020/09/26 11:46 +0200, GMT+02, 15.5, 
2020/09/26 12:06 +0200, GMT+02, 16.3, 
2020/09/26 12:26 +0200, GMT+02, 14.9, 
2020/09/26 12:46 +0200, GMT+02, 15, 
2020/09/26 13:06 +0200, GMT+02, 14, 
2020/09/26 13:26 +0200, GMT+02, 17.6, 
2020/09/26 13:46 +0200, GMT+02, 17.8, 
2020/09/26 14:06 +0200, GMT+02, 17.8, 0
2020/09/26 14:26 +0200, GMT+02, 17.7, 0.00003
2020/09/26 14:46 +0200, GMT+02, 17.6, 0.00089
2020/09/26 15:06 +0200, GMT+02, 17.5, 0.00481
2020/09/26 15:26 +0200, GMT+02, 17.4, 0.01377
2020/09/26 15:46 +0200, GMT+02, 17.3, 0.02892
2020/09/26 16:06 +0200, GMT+02, 17.1, 0.05069
2020/09/26 16:26 +0200, GMT+02, 17, 0.07907
2020/09/26 16:46 +0200, GMT+02, 16.9, 0.11394
2020/09/26 17:06 +0200, GMT+02, 16.8, 0.15497
2020/09/26 17:26 +0200, GMT+02, 16.7, 0.20177
2020/09/26 17:46 +0200, GMT+02, 16.6, 0.25392
2020/09/26 18:06 +0200, GMT+02, 16.6, 0.31117
2020/09/26 18:26 +0200, GMT+02, 16.5, 0.37315
2020/09/26 18:46 +0200, GMT+02, 16.4, 0.4393
2020/09/26 19:06 +0200, GMT+02, 16.3, 0.50924
2020/09/26 19:26 +0200, GMT+02, 16.3, 0.58283
2020/09/26 19:46 +0200, GMT+02, 16.3, 0.66005
2020/09/26 20:06 +0200, GMT+02, 16.2, 0.74037
2020/09/26 20:26 +0200, GMT+02, 16.2, 0.82361
2020/09/26 20:46 +0200, GMT+02, 16.2, 0.90966
2020/09/26 21:06 +0200, GMT+02, 16.2, 0.9984
2020/09/26 21:26 +0200, GMT+02, 16.2, 1.08964
2020/09/26 21:46 +0200, GMT+02, 16.3, 1.18349
2020/09/26 22:06 +0200, GMT+02, 16.3, 1.27982
2020/09/26 22:26 +0200, GMT+02, 16.4, 1.37849
2020/09/26 22:46 +0200, GMT+02, 16.5, 1.47969
2020/09/26 23:06 +0200, GMT+02, 16.5, 1.583
2020/09/26 23:26 +0200, GMT+02, 16.6, 1.68831
2020/09/26 23:46 +0200, GMT+02, 16.7, 1.79584
2020/09/27 00:06 +0200, GMT+02, 16.8, 1.9055
2020/09/27 00:26 +0200, GMT+02, 16.8, 2.01687
2020/09/27 00:46 +0200, GMT+02, 17, 2.13022
2020/09/27 01:06 +0200, GMT+02, 17.1, 2.24581
2020/09/27 01:26 +0200, GMT+02, 17.2, 2.36323
2020/09/27 01:46 +0200, GMT+02, 17.3, 2.48241
2020/09/27 02:06 +0200, GMT+02, 17.5, 2.60367
2020/09/27 02:26 +0200, GMT+02, 17.5, 2.72656
2020/09/27 02:46 +0200, GMT+02, 17.5, 2.8503
2020/09/27 03:06 +0200, GMT+02, 17.6, 2.97519
2020/09/27 03:26 +0200, GMT+02, 17.6, 3.10115
2020/09/27 03:46 +0200, GMT+02, 17.6, 3.22777
2020/09/27 04:06 +0200, GMT+02, 17.6, 3.35497
2020/09/27 04:26 +0200, GMT+02, 17.5, 3.48233
2020/09/27 04:46 +0200, GMT+02, 17.5, 3.60977
2020/09/27 05:06 +0200, GMT+02, 17.5, 3.73765
2020/09/27 05:26 +0200, GMT+02, 17.3, 3.86524
2020/09/27 05:46 +0200, GMT+02, 17.3, 3.99229
2020/09/27 06:06 +0200, GMT+02, 17.2, 4.11926
2020/09/27 06:26 +0200, GMT+02, 17.1, 4.24571
2020/09/27 06:46 +0200, GMT+02, 17.1, 4.37199
2020/09/27 07:06 +0200, GMT+02, 17, 4.49808
2020/09/27 07:26 +0200, GMT+02, 16.9, 4.62356
2020/09/27 07:46 +0200, GMT+02, 16.8, 4.7484
2020/09/27 08:06 +0200, GMT+02, 16.8, 4.87296
2020/09/27 08:26 +0200, GMT+02, 16.7, 4.99722
2020/09/27 08:46 +0200, GMT+02, 16.6, 5.12077
2020/09/27 09:06 +0200, GMT+02, 16.5, 5.2436
2020/09/27 09:26 +0200, GMT+02, 16.5, 5.36607
2020/09/27 09:46 +0200, GMT+02, 16.4, 5.48816
2020/09/27 10:06 +0200, GMT+02, 16.3, 5.60947
2020/09/27 10:26 +0200, GMT+02, 16.3, 5.73038
2020/09/27 10:46 +0200, GMT+02, 16.3, 5.85124
2020/09/27 11:06 +0200, GMT+02, 16.2, 5.97167
2020/09/27 11:26 +0200, GMT+02, 16.1, 6.09127
2020/09/27 11:46 +0200, GMT+02, 16.2, 6.21079
2020/09/27 12:06 +0200, GMT+02, 16.1, 6.33022
2020/09/27 12:26 +0200, GMT+02, 16.2, 6.44954
2020/09/27 12:46 +0200, GMT+02, 16.2, 6.56911
2020/09/27 13:06 +0200, GMT+02, 16.2, 6.68856
2020/09/27 13:26 +0200, GMT+02, 16.2, 6.80788
2020/09/27 13:46 +0200, GMT+02, 16.3, 6.92742
2020/09/27 14:06 +0200, GMT+02, 16.3, 7.04728
2020/09/27 14:26 +0200, GMT+02, 16.3, 7.16688
2020/09/27 14:46 +0200, GMT+02, 16.3, 7.28631
2020/09/27 15:06 +0200, GMT+02, 16.3, 7.40556
2020/09/27 15:26 +0200, GMT+02, 16.3, 7.52464
2020/09/27 15:46 +0200, GMT+02, 16.3, 7.64352
2020/09/27 16:06 +0200, GMT+02, 16.3, 7.76222
2020/09/27 16:26 +0200, GMT+02, 16.3, 7.88071
2020/09/27 16:46 +0200, GMT+02, 16.3, 7.999
2020/09/27 17:06 +0200, GMT+02, 16.3, 8.11708
2020/09/27 17:26 +0200, GMT+02, 16.3, 8.23495
2020/09/27 17:46 +0200, GMT+02, 16.3, 8.3526
2020/09/27 18:06 +0200, GMT+02, 16.3, 8.47003
2020/09/27 18:26 +0200, GMT+02, 16.4, 8.58759
2020/09/27 18:46 +0200, GMT+02, 16.3, 8.70492
2020/09/27 19:06 +0200, GMT+02, 16.3, 8.82166
2020/09/27 19:26 +0200, GMT+02, 16.3, 8.93816
2020/09/27 19:46 +0200, GMT+02, 16.4, 9.05478
2020/09/27 20:06 +0200, GMT+02, 16.3, 9.17116
2020/09/27 20:26 +0200, GMT+02, 16.3, 9.28694
2020/09/27 20:46 +0200, GMT+02, 16.3, 9.40247
2020/09/27 21:06 +0200, GMT+02, 16.3, 9.51774
2020/09/27 21:26 +0200, GMT+02, 16.3, 9.63277
2020/09/27 21:46 +0200, GMT+02, 16.2, 9.74719
2020/09/27 22:06 +0200, GMT+02, 16.1, 9.86065
2020/09/27 22:26 +0200, GMT+02, 16.1, 9.9735
2020/09/27 22:46 +0200, GMT+02, 16.1, 10.08611
2020/09/27 23:06 +0200, GMT+02, 16.1, 10.19855
2020/09/27 23:26 +0200, GMT+02, 16, 10.31029
2020/09/27 23:46 +0200, GMT+02, 16, 10.42144
2020/09/28 00:06 +0200, GMT+02, 16, 10.53232
2020/09/28 00:26 +0200, GMT+02, 15.9, 10.64261
2020/09/28 00:46 +0200, GMT+02, 15.8, 10.75196
2020/09/28 01:06 +0200, GMT+02, 15.8, 10.86071
2020/09/28 01:26 +0200, GMT+02, 15.8, 10.96922
2020/09/28 01:46 +0200, GMT+02, 15.8, 11.07747
2020/09/28 02:06 +0200, GMT+02, 15.7, 11.18512
2020/09/28 02:26 +0200, GMT+02, 15.6, 11.29186
2020/09/28 02:46 +0200, GMT+02, 15.6, 11.398
2020/09/28 03:06 +0200, GMT+02, 15.6, 11.5039
2020/09/28 03:26 +0200, GMT+02, 15.6, 11.60956
2020/09/28 03:46 +0200, GMT+02, 15.5, 11.71463
2020/09/28 04:06 +0200, GMT+02, 15.5, 11.81912
2020/09/28 04:26 +0200, GMT+02, 15.4, 11.92304
2020/09/28 04:46 +0200, GMT+02, 15.4, 12.02638
2020/09/28 05:06 +0200, GMT+02, 15.3, 12.12916
2020/09/28 05:26 +0200, GMT+02, 15.3, 12.23136
2020/09/28 05:46 +0200, GMT+02, 15.2, 12.333
2020/09/28 06:06 +0200, GMT+02, 15.1, 12.43376
2020/09/28 06:26 +0200, GMT+02, 15.1, 12.53396
2020/09/28 06:46 +0200, GMT+02, 15, 12.63361
2020/09/28 07:06 +0200, GMT+02, 15, 12.7327
2020/09/28 07:26 +0200, GMT+02, 14.9, 12.83125
2020/09/28 07:46 +0200, GMT+02, 14.8, 12.92894
2020/09/28 08:06 +0200, GMT+02, 14.8, 13.02616
2020/09/28 08:26 +0200, GMT+02, 14.8, 13.12309
2020/09/28 08:46 +0200, GMT+02, 14.7, 13.21947
2020/09/28 09:06 +0200, GMT+02, 14.6, 13.31501
2020/09/28 09:26 +0200, GMT+02, 14.6, 13.41003
2020/09/28 09:46 +0200, GMT+02, 14.5, 13.50451
2020/09/28 10:06 +0200, GMT+02, 14.5, 13.59848
2020/09/28 10:26 +0200, GMT+02, 14.4, 13.69192
2020/09/28 10:46 +0200, GMT+02, 14.3, 13.78454
2020/09/28 11:06 +0200, GMT+02, 14.3, 13.87665
2020/09/28 11:26 +0200, GMT+02, 14.3, 13.96856
2020/09/28 11:46 +0200, GMT+02, 14.3, 14.06026
2020/09/28 12:06 +0200, GMT+02, 14.4, 14.15205
2020/09/28 12:26 +0200, GMT+02, 14.5, 14.24424
2020/09/28 12:46 +0200, GMT+02, 14.7, 14.33713
2020/09/28 13:06 +0200, GMT+02, 14.8, 14.43072
2020/09/28 13:26 +0200, GMT+02, 15, 14.525
2020/09/28 13:46 +0200, GMT+02, 15.3, 14.62059
2020/09/28 14:06 +0200, GMT+02, 15.5, 14.71749
2020/09/28 14:26 +0200, GMT+02, 15.8, 14.8157
2020/09/28 14:46 +0200, GMT+02, 16, 14.91522
2020/09/28 15:06 +0200, GMT+02, 16.1, 15.01543
2020/09/28 15:26 +0200, GMT+02, 16.3, 15.11632
2020/09/28 15:46 +0200, GMT+02, 16.5, 15.21821
2020/09/28 16:06 +0200, GMT+02, 16.8, 15.32141
2020/09/28 16:26 +0200, GMT+02, 17, 15.42593
2020/09/28 16:46 +0200, GMT+02, 17.1, 15.53112
2020/09/28 17:06 +0200, GMT+02, 17.3, 15.63698
2020/09/28 17:26 +0200, GMT+02, 17.5, 15.74392
2020/09/28 17:46 +0200, GMT+02, 17.6, 15.85144
2020/09/28 18:06 +0200, GMT+02, 17.8, 15.95963
2020/09/28 18:26 +0200, GMT+02, 17.9, 16.06848
2020/09/28 18:46 +0200, GMT+02, 18, 16.17766
2020/09/28 19:06 +0200, GMT+02, 18, 16.28687
2020/09/28 19:26 +0200, GMT+02, 18.1, 16.39608
2020/09/28 19:46 +0200, GMT+02, 18.1, 16.50532
2020/09/28 20:06 +0200, GMT+02, 18.2, 16.61456
2020/09/28 20:26 +0200, GMT+02, 18.2, 16.72381
2020/09/28 20:46 +0200, GMT+02, 18.2, 16.83276
2020/09/28 21:06 +0200, GMT+02, 18.2, 16.9414
2020/09/28 21:26 +0200, GMT+02, 18.1, 17.04941
2020/09/28 21:46 +0200, GMT+02, 18.1, 17.15681
2020/09/28 22:06 +0200, GMT+02, 18.1, 17.26391
2020/09/28 22:26 +0200, GMT+02, 18.1, 17.37072
2020/09/28 22:46 +0200, GMT+02, 18, 17.47691
2020/09/28 23:06 +0200, GMT+02, 18, 17.5825
2020/09/28 23:26 +0200, GMT+02, 18, 17.68779
2020/09/28 23:46 +0200, GMT+02, 18, 17.7928
2020/09/29 00:06 +0200, GMT+02, 18, 17.89752
2020/09/29 00:26 +0200, GMT+02, 17.9, 18.00164
2020/09/29 00:46 +0200, GMT+02, 17.9, 18.10517
2020/09/29 01:06 +0200, GMT+02, 17.9, 18.20843
2020/09/29 01:26 +0200, GMT+02, 17.9, 18.3114
2020/09/29 01:46 +0200, GMT+02, 17.9, 18.41409
2020/09/29 02:06 +0200, GMT+02, 17.9, 18.5165
2020/09/29 02:26 +0200, GMT+02, 17.9, 18.61872
2020/09/29 02:46 +0200, GMT+02, 17.9, 18.72058
2020/09/29 03:06 +0200, GMT+02, 18, 18.82247
2020/09/29 03:26 +0200, GMT+02, 18, 18.92438
2020/09/29 03:46 +0200, GMT+02, 18, 19.02601
2020/09/29 04:06 +0200, GMT+02, 18, 19.12737
2020/09/29 04:26 +0200, GMT+02, 18, 19.22845
2020/09/29 04:46 +0200, GMT+02, 18, 19.32927
2020/09/29 05:06 +0200, GMT+02, 18, 19.42981
2020/09/29 05:26 +0200, GMT+02, 18, 19.53008
2020/09/29 05:46 +0200, GMT+02, 18, 19.63009
2020/09/29 06:06 +0200, GMT+02, 18, 19.72983
2020/09/29 06:26 +0200, GMT+02, 18, 19.8293
2020/09/29 06:46 +0200, GMT+02, 18, 19.92851
