time, timezone, temperature, strength
2020/10/28 12:38 +0100, GMT+01, 16.8, 
2020/10/28 12:57 +0100, GMT+01, 17.5, 
2020/10/28 13:17 +0100, GMT+01, 17.8, 
2020/10/28 13:37 +0100, GMT+01, 17.6, 
2020/10/28 13:57 +0100, GMT+01, 17.4, 
2020/10/28 14:17 +0100, GMT+01, 17.2, 
2020/10/28 14:37 +0100, GMT+01, 17, 
2020/10/28 14:57 +0100, GMT+01, 16.8, 
2020/10/28 15:17 +0100, GMT+01, 16.6, 0
2020/10/28 15:37 +0100, GMT+01, 16.5, 0.00002
2020/10/28 15:57 +0100, GMT+01, 16.3, 0.00064
2020/10/28 16:17 +0100, GMT+01, 16.1, 0.00356
2020/10/28 16:37 +0100, GMT+01, 16, 0.0104
2020/10/28 16:57 +0100, GMT+01, 15.8, 0.02217
2020/10/28 17:17 +0100, GMT+01, 15.6, 0.03927
2020/10/28 17:37 +0100, GMT+01, 15.4, 0.06176
2020/10/28 17:57 +0100, GMT+01, 15.3, 0.08954
2020/10/28 18:17 +0100, GMT+01, 15.1, 0.12238
2020/10/28 18:37 +0100, GMT+01, 15, 0.15995
2020/10/28 18:57 +0100, GMT+01, 14.9, 0.2021
2020/10/28 19:17 +0100, GMT+01, 14.8, 0.24843
2020/10/28 19:37 +0100, GMT+01, 14.6, 0.29849
2020/10/28 19:57 +0100, GMT+01, 14.6, 0.35212
2020/10/28 20:17 +0100, GMT+01, 14.5, 0.40922
2020/10/28 20:37 +0100, GMT+01, 14.4, 0.46934
2020/10/28 20:57 +0100, GMT+01, 14.3, 0.53221
2020/10/28 21:17 +0100, GMT+01, 14.2, 0.5976
2020/10/28 21:37 +0100, GMT+01, 14.1, 0.66527
2020/10/28 21:57 +0100, GMT+01, 14.1, 0.73525
2020/10/28 22:17 +0100, GMT+01, 14, 0.80735
2020/10/28 22:37 +0100, GMT+01, 13.9, 0.88117
2020/10/28 22:57 +0100, GMT+01, 13.8, 0.95654
2020/10/28 23:17 +0100, GMT+01, 13.8, 1.03354
2020/10/28 23:37 +0100, GMT+01, 13.8, 1.11233
2020/10/28 23:57 +0100, GMT+01, 13.7, 1.19252
2020/10/29 00:17 +0100, GMT+01, 13.6, 1.27373
2020/10/29 00:37 +0100, GMT+01, 13.6, 1.3561
2020/10/29 00:57 +0100, GMT+01, 13.5, 1.43954
2020/10/29 01:17 +0100, GMT+01, 13.5, 1.52403
2020/10/29 01:37 +0100, GMT+01, 13.4, 1.60934
2020/10/29 01:57 +0100, GMT+01, 13.3, 1.69516
2020/10/29 02:17 +0100, GMT+01, 13.2, 1.78142
2020/10/29 02:37 +0100, GMT+01, 13.1, 1.86803
2020/10/29 02:57 +0100, GMT+01, 13, 1.95493
2020/10/29 03:17 +0100, GMT+01, 12.9, 2.04203
2020/10/29 03:37 +0100, GMT+01, 12.8, 2.12929
2020/10/29 03:57 +0100, GMT+01, 12.8, 2.21695
2020/10/29 04:17 +0100, GMT+01, 12.7, 2.30496
2020/10/29 04:37 +0100, GMT+01, 12.6, 2.39297
