time, timezone, temperature, strength
2020/07/30 19:55 +0200, GMT+02, 30.5, 0
2020/07/30 20:14 +0200, GMT+02, 28, 0.00046
2020/07/30 20:34 +0200, GMT+02, 28, 0.00815
2020/07/30 20:54 +0200, GMT+02, 27.8, 0.03241
2020/07/30 21:14 +0200, GMT+02, 27.6, 0.07669
2020/07/30 21:34 +0200, GMT+02, 27.6, 0.14113
2020/07/30 21:54 +0200, GMT+02, 27.6, 0.22468
2020/07/30 22:14 +0200, GMT+02, 27.6, 0.32561
2020/07/30 22:34 +0200, GMT+02, 27.6, 0.44208
2020/07/30 22:54 +0200, GMT+02, 27.8, 0.57293
2020/07/30 23:14 +0200, GMT+02, 28, 0.71738
2020/07/30 23:34 +0200, GMT+02, 28.2, 0.8742
2020/07/30 23:54 +0200, GMT+02, 28.5, 1.0427
2020/07/31 00:14 +0200, GMT+02, 28.8, 1.22235
2020/07/31 00:34 +0200, GMT+02, 29.1, 1.41233
2020/07/31 00:54 +0200, GMT+02, 29.6, 1.61282
2020/07/31 01:14 +0200, GMT+02, 29.9, 1.82322
2020/07/31 01:34 +0200, GMT+02, 30, 2.04108
2020/07/31 01:54 +0200, GMT+02, 30.1, 2.26476
2020/07/31 02:14 +0200, GMT+02, 30.1, 2.49311
2020/07/31 02:34 +0200, GMT+02, 30.2, 2.72555
2020/07/31 02:54 +0200, GMT+02, 30.2, 2.96155
2020/07/31 03:14 +0200, GMT+02, 30.2, 3.20012
2020/07/31 03:34 +0200, GMT+02, 30.1, 3.44031
2020/07/31 03:54 +0200, GMT+02, 30.1, 3.68175
2020/07/31 04:14 +0200, GMT+02, 30, 3.92409
2020/07/31 04:34 +0200, GMT+02, 30, 4.16725
2020/07/31 04:54 +0200, GMT+02, 29.9, 4.41055
2020/07/31 05:14 +0200, GMT+02, 29.8, 4.65344
2020/07/31 05:34 +0200, GMT+02, 29.8, 4.89625
2020/07/31 05:54 +0200, GMT+02, 29.6, 5.13827
2020/07/31 06:14 +0200, GMT+02, 29.6, 5.37935
2020/07/31 06:34 +0200, GMT+02, 29.5, 5.61989
2020/07/31 06:54 +0200, GMT+02, 29.4, 5.85923
2020/07/31 07:14 +0200, GMT+02, 29.3, 6.09728
2020/07/31 07:34 +0200, GMT+02, 29.2, 6.33394
2020/07/31 07:54 +0200, GMT+02, 29.1, 6.56915
2020/07/31 08:14 +0200, GMT+02, 29, 6.80283
2020/07/31 08:34 +0200, GMT+02, 29, 7.03545
2020/07/31 08:54 +0200, GMT+02, 28.8, 7.26644
2020/07/31 09:14 +0200, GMT+02, 28.8, 7.49575
2020/07/31 09:34 +0200, GMT+02, 28.8, 7.72438
2020/07/31 09:54 +0200, GMT+02, 28.9, 7.95279
2020/07/31 10:14 +0200, GMT+02, 28.9, 8.18093
2020/07/31 10:34 +0200, GMT+02, 29, 8.40877
2020/07/31 10:54 +0200, GMT+02, 29, 8.63628
2020/07/31 11:14 +0200, GMT+02, 29, 8.86292
2020/07/31 11:34 +0200, GMT+02, 29, 9.08866
2020/07/31 11:54 +0200, GMT+02, 29, 9.31349
2020/07/31 12:14 +0200, GMT+02, 29.3, 9.53888
2020/07/31 12:34 +0200, GMT+02, 29.8, 9.76729
2020/07/31 12:54 +0200, GMT+02, 30.3, 9.9997
2020/07/31 13:14 +0200, GMT+02, 31, 10.2371
2020/07/31 13:34 +0200, GMT+02, 31.6, 10.47996
2020/07/31 13:54 +0200, GMT+02, 32.3, 10.72828
2020/07/31 14:14 +0200, GMT+02, 33, 10.98256
2020/07/31 14:34 +0200, GMT+02, 33.6, 11.24223
2020/07/31 14:54 +0200, GMT+02, 34.4, 11.50781
2020/07/31 15:14 +0200, GMT+02, 35.1, 11.77978
2020/07/31 15:34 +0200, GMT+02, 35.8, 12.05759
2020/07/31 15:54 +0200, GMT+02, 36.5, 12.34119
2020/07/31 16:14 +0200, GMT+02, 37.1, 12.63023
2020/07/31 16:34 +0200, GMT+02, 37.8, 12.92418
2020/07/31 16:54 +0200, GMT+02, 38.3, 13.22266
2020/07/31 17:14 +0200, GMT+02, 38.9, 13.52508
2020/07/31 17:34 +0200, GMT+02, 39.3, 13.83081
2020/07/31 17:54 +0200, GMT+02, 39.6, 14.13813
2020/07/31 18:14 +0200, GMT+02, 39.8, 14.4459
2020/07/31 18:34 +0200, GMT+02, 39.9, 14.75298
2020/07/31 18:54 +0200, GMT+02, 39.9, 15.05827
2020/07/31 19:14 +0200, GMT+02, 39.9, 15.36124
2020/07/31 19:34 +0200, GMT+02, 39.8, 15.66137
2020/07/31 19:54 +0200, GMT+02, 39.7, 15.95817
2020/07/31 20:14 +0200, GMT+02, 39.6, 16.25168
2020/07/31 20:34 +0200, GMT+02, 39.5, 16.54195
2020/07/31 20:54 +0200, GMT+02, 39.4, 16.82903
2020/07/31 21:14 +0200, GMT+02, 39.2, 17.11246
2020/07/31 21:34 +0200, GMT+02, 39.1, 17.39229
2020/07/31 21:54 +0200, GMT+02, 38.9, 17.66859
2020/07/31 22:14 +0200, GMT+02, 38.8, 17.9414
2020/07/31 22:34 +0200, GMT+02, 38.6, 18.2108
2020/07/31 22:54 +0200, GMT+02, 38.3, 18.47587
2020/07/31 23:14 +0200, GMT+02, 38.2, 18.73716
2020/07/31 23:34 +0200, GMT+02, 38, 18.99523
