time, timezone, temperature, strength
2021/03/08 14:00 +0100, GMT+01, 8.7, 
2021/03/08 14:19 +0100, GMT+01, 9.3, 
2021/03/08 14:39 +0100, GMT+01, 9.5, 
2021/03/08 14:59 +0100, GMT+01, 9.6, 
2021/03/08 15:19 +0100, GMT+01, 9.2, 
2021/03/08 15:39 +0100, GMT+01, 9.3, 
2021/03/08 15:59 +0100, GMT+01, 9.63, 
2021/03/08 16:19 +0100, GMT+01, 10.2, 
2021/03/08 16:39 +0100, GMT+01, 10.5, 
2021/03/08 16:59 +0100, GMT+01, 13.7, 
2021/03/08 17:19 +0100, GMT+01, 16.1, 0
2021/03/08 17:39 +0100, GMT+01, 16.3, 0.00002
2021/03/08 17:59 +0100, GMT+01, 16.5, 0.00061
2021/03/08 18:19 +0100, GMT+01, 16.6, 0.00356
2021/03/08 18:39 +0100, GMT+01, 16.7, 0.01075
2021/03/08 18:59 +0100, GMT+01, 16.8, 0.02353
2021/03/08 19:19 +0100, GMT+01, 16.8, 0.04262
2021/03/08 19:39 +0100, GMT+01, 17, 0.06844
2021/03/08 19:59 +0100, GMT+01, 17.1, 0.10122
2021/03/08 20:19 +0100, GMT+01, 17.2, 0.14085
2021/03/08 20:39 +0100, GMT+01, 17.4, 0.18733
2021/03/08 20:59 +0100, GMT+01, 17.6, 0.24066
2021/03/08 21:19 +0100, GMT+01, 17.8, 0.30068
2021/03/08 21:39 +0100, GMT+01, 18.1, 0.36742
2021/03/08 21:59 +0100, GMT+01, 18.3, 0.44072
2021/03/08 22:19 +0100, GMT+01, 18.6, 0.52043
2021/03/08 22:39 +0100, GMT+01, 18.8, 0.60636
2021/03/08 22:59 +0100, GMT+01, 19.1, 0.69835
2021/03/08 23:19 +0100, GMT+01, 19.4, 0.79649
2021/03/08 23:39 +0100, GMT+01, 19.8, 0.90095
2021/03/08 23:59 +0100, GMT+01, 20.1, 1.01163
2021/03/09 00:19 +0100, GMT+01, 20.5, 1.12853
2021/03/09 00:39 +0100, GMT+01, 20.8, 1.25134
2021/03/09 00:59 +0100, GMT+01, 21, 1.37935
2021/03/09 01:19 +0100, GMT+01, 21.1, 1.51165
2021/03/09 01:39 +0100, GMT+01, 21.1, 1.6473
2021/03/09 01:59 +0100, GMT+01, 21.2, 1.78603
2021/03/09 02:19 +0100, GMT+01, 21.2, 1.92762
2021/03/09 02:39 +0100, GMT+01, 21.1, 2.07107
2021/03/09 02:59 +0100, GMT+01, 21, 2.21575
2021/03/09 03:19 +0100, GMT+01, 21, 2.36184
2021/03/09 03:39 +0100, GMT+01, 20.9, 2.50916
2021/03/09 03:59 +0100, GMT+01, 20.8, 2.65713
2021/03/09 04:19 +0100, GMT+01, 20.6, 2.80517
2021/03/09 04:39 +0100, GMT+01, 20.5, 2.95315
2021/03/09 04:59 +0100, GMT+01, 20.4, 3.10132
2021/03/09 05:19 +0100, GMT+01, 20.2, 3.24916
2021/03/09 05:39 +0100, GMT+01, 20, 3.39615
2021/03/09 05:59 +0100, GMT+01, 19.9, 3.5426
2021/03/09 06:19 +0100, GMT+01, 19.6, 3.68802
2021/03/09 06:39 +0100, GMT+01, 19.5, 3.83231
2021/03/09 06:59 +0100, GMT+01, 19.2, 3.97542
2021/03/09 07:19 +0100, GMT+01, 19, 4.11688
2021/03/09 07:39 +0100, GMT+01, 18.8, 4.25716
2021/03/09 07:59 +0100, GMT+01, 18.5, 4.39558
2021/03/09 08:19 +0100, GMT+01, 18.3, 4.53222
2021/03/09 08:39 +0100, GMT+01, 18, 4.66705
2021/03/09 08:59 +0100, GMT+01, 17.8, 4.80004
2021/03/09 09:19 +0100, GMT+01, 17.6, 4.93157
2021/03/09 09:39 +0100, GMT+01, 17.4, 5.06161
2021/03/09 09:59 +0100, GMT+01, 17.3, 5.19054
2021/03/09 10:19 +0100, GMT+01, 17.1, 5.31834
2021/03/09 10:39 +0100, GMT+01, 17, 5.44499
2021/03/09 10:59 +0100, GMT+01, 16.9, 5.57085
2021/03/09 11:19 +0100, GMT+01, 16.9, 5.69631
2021/03/09 11:39 +0100, GMT+01, 16.8, 5.82133
2021/03/09 11:59 +0100, GMT+01, 16.8, 5.94592
2021/03/09 12:19 +0100, GMT+01, 16.7, 6.07004
2021/03/09 12:39 +0100, GMT+01, 16.6, 6.19333
2021/03/09 12:59 +0100, GMT+01, 16.6, 6.31613
2021/03/09 13:19 +0100, GMT+01, 16.6, 6.43883
2021/03/09 13:39 +0100, GMT+01, 16.5, 6.56103
2021/03/09 13:59 +0100, GMT+01, 16.5, 6.68272
2021/03/09 14:19 +0100, GMT+01, 16.5, 6.80427
2021/03/09 14:39 +0100, GMT+01, 16.4, 6.92531
2021/03/09 14:59 +0100, GMT+01, 16.3, 7.04554
2021/03/09 15:19 +0100, GMT+01, 16.3, 7.16514
2021/03/09 15:39 +0100, GMT+01, 16.2, 7.2842
2021/03/09 15:59 +0100, GMT+01, 16.1, 7.40236
2021/03/09 16:19 +0100, GMT+01, 16.1, 7.51997
2021/03/09 16:39 +0100, GMT+01, 16.1, 7.63739
2021/03/09 16:59 +0100, GMT+01, 16.1, 7.75463
2021/03/09 17:19 +0100, GMT+01, 16.1, 7.87168
2021/03/09 17:39 +0100, GMT+01, 16, 7.98816
2021/03/09 17:55 +0100, GMT+01, 16, 8.0813
2021/03/09 17:56 +0100, GMT+01, 16, 8.08371
2021/03/09 18:16 +0100, GMT+01, 16, 8.19908
2021/03/09 18:36 +0100, GMT+01, 15.9, 8.31426
2021/03/09 18:56 +0100, GMT+01, 15.8, 8.42851
2021/03/09 19:16 +0100, GMT+01, 15.7, 8.54183
2021/03/09 19:36 +0100, GMT+01, 15.6, 8.65424
2021/03/09 19:56 +0100, GMT+01, 15.5, 8.76572
2021/03/09 20:16 +0100, GMT+01, 15.4, 8.87628
2021/03/09 20:36 +0100, GMT+01, 15.3, 8.98593
2021/03/09 20:56 +0100, GMT+01, 15.2, 9.09467
2021/03/09 21:16 +0100, GMT+01, 15.1, 9.20251
2021/03/09 21:36 +0100, GMT+01, 14.9, 9.3091
2021/03/09 21:56 +0100, GMT+01, 14.8, 9.41445
2021/03/09 22:16 +0100, GMT+01, 14.6, 9.51858
