time, timezone, temperature, strength
2020/10/19 18:47 +0200, GMT+02, 15.5, 0
2020/10/19 19:06 +0200, GMT+02, 18.5, 0.00002
2020/10/19 19:26 +0200, GMT+02, 18.1, 0.00084
2020/10/19 19:46 +0200, GMT+02, 17.9, 0.0048
2020/10/19 20:06 +0200, GMT+02, 17.6, 0.01397
2020/10/19 20:26 +0200, GMT+02, 17.4, 0.0294
2020/10/19 20:46 +0200, GMT+02, 17.1, 0.05142
2020/10/19 21:06 +0200, GMT+02, 16.9, 0.0799
2020/10/19 21:26 +0200, GMT+02, 16.7, 0.11459
2020/10/19 21:46 +0200, GMT+02, 16.5, 0.15506
2020/10/19 22:06 +0200, GMT+02, 16.4, 0.20096
2020/10/19 22:26 +0200, GMT+02, 16.2, 0.25185
2020/10/19 22:46 +0200, GMT+02, 16.1, 0.30728
2020/10/19 23:06 +0200, GMT+02, 16, 0.36701
2020/10/19 23:26 +0200, GMT+02, 16, 0.43087
2020/10/19 23:46 +0200, GMT+02, 15.9, 0.49854
2020/10/20 00:06 +0200, GMT+02, 15.8, 0.56956
2020/10/20 00:26 +0200, GMT+02, 15.8, 0.64375
2020/10/20 00:46 +0200, GMT+02, 15.8, 0.72114
2020/10/20 01:06 +0200, GMT+02, 15.8, 0.80153
2020/10/20 01:26 +0200, GMT+02, 15.8, 0.88471
2020/10/20 01:46 +0200, GMT+02, 15.8, 0.9705
2020/10/20 02:06 +0200, GMT+02, 15.8, 1.05871
2020/10/20 02:26 +0200, GMT+02, 15.9, 1.14948
2020/10/20 02:46 +0200, GMT+02, 16, 1.24296
2020/10/20 03:06 +0200, GMT+02, 16, 1.33874
2020/10/20 03:26 +0200, GMT+02, 16.1, 1.43671
2020/10/20 03:46 +0200, GMT+02, 16.1, 1.53675
2020/10/20 04:06 +0200, GMT+02, 16.1, 1.63843
2020/10/20 04:26 +0200, GMT+02, 16.1, 1.74164
2020/10/20 04:46 +0200, GMT+02, 16.1, 1.84627
2020/10/20 05:06 +0200, GMT+02, 16.2, 1.95255
2020/10/20 05:26 +0200, GMT+02, 16.2, 2.0604
2020/10/20 05:46 +0200, GMT+02, 16.2, 2.16939
2020/10/20 06:06 +0200, GMT+02, 16.3, 2.2798
2020/10/20 06:27 +0200, GMT+02, 16.3, 2.39165
2020/10/20 06:47 +0200, GMT+02, 16.3, 2.50432
2020/10/20 07:07 +0200, GMT+02, 16.3, 2.61785
2020/10/20 07:27 +0200, GMT+02, 16.3, 2.73216
2020/10/20 07:47 +0200, GMT+02, 16.3, 2.8472
2020/10/20 08:07 +0200, GMT+02, 16.4, 2.96327
2020/10/20 08:27 +0200, GMT+02, 16.4, 3.08032
2020/10/20 08:47 +0200, GMT+02, 16.5, 3.1983
2020/10/20 09:07 +0200, GMT+02, 16.5, 3.31717
2020/10/20 09:27 +0200, GMT+02, 16.5, 3.43652
2020/10/20 09:47 +0200, GMT+02, 16.6, 3.55668
2020/10/20 10:07 +0200, GMT+02, 16.6, 3.6776
2020/10/20 10:27 +0200, GMT+02, 16.7, 3.79925
2020/10/20 10:47 +0200, GMT+02, 16.8, 3.92198
2020/10/20 11:07 +0200, GMT+02, 16.8, 4.04538
2020/10/20 11:27 +0200, GMT+02, 16.9, 4.16941
2020/10/20 11:47 +0200, GMT+02, 17, 4.29442
2020/10/20 12:07 +0200, GMT+02, 17.1, 4.4204
2020/10/20 12:27 +0200, GMT+02, 17.3, 4.5478
2020/10/20 12:47 +0200, GMT+02, 17.4, 4.6764
2020/10/20 13:07 +0200, GMT+02, 17.5, 4.8059
2020/10/20 13:27 +0200, GMT+02, 17.7, 4.93665
2020/10/20 13:47 +0200, GMT+02, 17.8, 5.06864
2020/10/20 14:07 +0200, GMT+02, 18, 5.20186
2020/10/20 14:27 +0200, GMT+02, 18.1, 5.33629
2020/10/20 14:47 +0200, GMT+02, 18.3, 5.4719
2020/10/20 15:07 +0200, GMT+02, 18.5, 5.60908
2020/10/20 15:27 +0200, GMT+02, 18.6, 5.74742
2020/10/20 15:47 +0200, GMT+02, 18.7, 5.88649
2020/10/20 16:07 +0200, GMT+02, 18.8, 6.02628
2020/10/20 16:27 +0200, GMT+02, 19, 6.16717
2020/10/20 16:47 +0200, GMT+02, 19.1, 6.30914
2020/10/20 17:07 +0200, GMT+02, 19.1, 6.45137
2020/10/20 17:27 +0200, GMT+02, 19.3, 6.59425
2020/10/20 17:47 +0200, GMT+02, 19.3, 6.73776
2020/10/20 18:07 +0200, GMT+02, 19.4, 6.88147
2020/10/20 18:27 +0200, GMT+02, 19.4, 7.02537
2020/10/20 18:47 +0200, GMT+02, 19.5, 7.16945
2020/10/20 19:07 +0200, GMT+02, 19.5, 7.31381
2020/10/20 19:27 +0200, GMT+02, 19.5, 7.4578
2020/10/20 19:47 +0200, GMT+02, 19.5, 7.60151
2020/10/20 20:07 +0200, GMT+02, 19.5, 7.74495
2020/10/20 20:27 +0200, GMT+02, 19.5, 7.88809
2020/10/20 20:47 +0200, GMT+02, 19.4, 8.03054
2020/10/20 21:07 +0200, GMT+02, 19.4, 8.17228
2020/10/20 21:27 +0200, GMT+02, 19.3, 8.31331
2020/10/20 21:47 +0200, GMT+02, 19.3, 8.45362
2020/10/20 22:07 +0200, GMT+02, 19.3, 8.59362
2020/10/20 22:27 +0200, GMT+02, 19.3, 8.73329
2020/10/20 22:47 +0200, GMT+02, 19.2, 8.87223
2020/10/20 23:07 +0200, GMT+02, 19.1, 9.01005
2020/10/20 23:27 +0200, GMT+02, 19.1, 9.14714
2020/10/20 23:47 +0200, GMT+02, 19.1, 9.28389
2020/10/21 00:07 +0200, GMT+02, 19, 9.41991
2020/10/21 00:27 +0200, GMT+02, 19, 9.55519
2020/10/21 00:47 +0200, GMT+02, 19, 9.69013
2020/10/21 01:07 +0200, GMT+02, 19, 9.82483
2020/10/21 01:27 +0200, GMT+02, 18.9, 9.95868
