time, timezone, temperature, strength
2020/11/05 10:05 +0100, GMT+01, 10.3, 
2020/11/05 10:24 +0100, GMT+01, 5.8, 
2020/11/05 10:44 +0100, GMT+01, 5.8, 
2020/11/05 11:04 +0100, GMT+01, 6.8, 
2020/11/05 11:24 +0100, GMT+01, 6.8, 
2020/11/05 11:44 +0100, GMT+01, 7.3, 
2020/11/05 12:04 +0100, GMT+01, 8.3, 
2020/11/05 12:24 +0100, GMT+01, 11.5, 
2020/11/05 12:44 +0100, GMT+01, 10.1, 
2020/11/05 13:04 +0100, GMT+01, 10.5, 
2020/11/05 13:24 +0100, GMT+01, 10.5, 
2020/11/05 13:44 +0100, GMT+01, 11.7, 
2020/11/05 14:04 +0100, GMT+01, 11.6, 
2020/11/05 14:24 +0100, GMT+01, 11.9, 
2020/11/05 14:44 +0100, GMT+01, 10.8, 
2020/11/05 15:04 +0100, GMT+01, 10.6, 
2020/11/05 15:24 +0100, GMT+01, 13, 
2020/11/05 15:44 +0100, GMT+01, 15.6, 
2020/11/05 16:04 +0100, GMT+01, 13.1, 
2020/11/05 16:24 +0100, GMT+01, 10.5, 
2020/11/05 16:44 +0100, GMT+01, 9.8, 
2020/11/05 17:04 +0100, GMT+01, 9.1, 
2020/11/05 17:24 +0100, GMT+01, 8.6, 
2020/11/05 17:44 +0100, GMT+01, 8, 
2020/11/05 18:04 +0100, GMT+01, 15.1, 0
2020/11/05 18:24 +0100, GMT+01, 15, 0.00001
2020/11/05 18:44 +0100, GMT+01, 15, 0.00042
2020/11/05 19:04 +0100, GMT+01, 14.9, 0.0025
2020/11/05 19:24 +0100, GMT+01, 14.8, 0.00763
2020/11/05 19:44 +0100, GMT+01, 14.6, 0.01675
2020/11/05 20:04 +0100, GMT+01, 14.5, 0.03033
2020/11/05 20:24 +0100, GMT+01, 14.3, 0.04854
2020/11/05 20:44 +0100, GMT+01, 14.1, 0.07128
2020/11/05 21:04 +0100, GMT+01, 14, 0.09844
2020/11/05 21:24 +0100, GMT+01, 13.8, 0.12977
2020/11/05 21:44 +0100, GMT+01, 13.8, 0.16515
2020/11/05 22:04 +0100, GMT+01, 13.6, 0.20431
2020/11/05 22:24 +0100, GMT+01, 13.5, 0.24685
2020/11/05 22:44 +0100, GMT+01, 13.4, 0.29265
2020/11/05 23:04 +0100, GMT+01, 13.3, 0.34145
2020/11/05 23:24 +0100, GMT+01, 13.2, 0.39303
2020/11/05 23:44 +0100, GMT+01, 13.1, 0.44715
2020/11/06 00:04 +0100, GMT+01, 13, 0.50361
2020/11/06 00:24 +0100, GMT+01, 13, 0.5624
2020/11/06 00:44 +0100, GMT+01, 12.9, 0.62338
2020/11/06 01:04 +0100, GMT+01, 12.8, 0.68616
2020/11/06 01:24 +0100, GMT+01, 12.7, 0.75057
2020/11/06 01:44 +0100, GMT+01, 12.7, 0.8167
2020/11/06 02:04 +0100, GMT+01, 12.6, 0.88442
2020/11/06 02:24 +0100, GMT+01, 12.6, 0.95361
2020/11/06 02:44 +0100, GMT+01, 12.6, 1.02441
2020/11/06 03:04 +0100, GMT+01, 12.5, 1.09647
2020/11/06 03:24 +0100, GMT+01, 12.5, 1.16971
2020/11/06 03:44 +0100, GMT+01, 12.5, 1.24428
2020/11/06 04:04 +0100, GMT+01, 12.5, 1.32012
2020/11/06 04:24 +0100, GMT+01, 12.4, 1.39689
2020/11/06 04:44 +0100, GMT+01, 12.4, 1.47456
2020/11/06 05:04 +0100, GMT+01, 12.4, 1.55323
2020/11/06 05:24 +0100, GMT+01, 12.3, 1.63261
2020/11/06 05:44 +0100, GMT+01, 12.3, 1.71263
2020/11/06 06:04 +0100, GMT+01, 12.3, 1.79354
2020/11/06 06:24 +0100, GMT+01, 12.3, 1.87527
2020/11/06 06:44 +0100, GMT+01, 12.3, 1.95778
2020/11/06 07:04 +0100, GMT+01, 12.2, 2.04073
2020/11/06 07:24 +0100, GMT+01, 12.1, 2.12378
2020/11/06 07:44 +0100, GMT+01, 12.1, 2.20717
2020/11/06 08:04 +0100, GMT+01, 12.1, 2.29117
2020/11/06 08:24 +0100, GMT+01, 12.1, 2.37573
2020/11/06 08:44 +0100, GMT+01, 12, 2.46053
2020/11/06 09:04 +0100, GMT+01, 12, 2.54552
2020/11/06 09:24 +0100, GMT+01, 12, 2.63098
2020/11/06 09:44 +0100, GMT+01, 12, 2.71688
2020/11/06 10:04 +0100, GMT+01, 12, 2.80319
2020/11/06 10:24 +0100, GMT+01, 12, 2.8899
2020/11/06 10:44 +0100, GMT+01, 12, 2.97697
2020/11/06 11:04 +0100, GMT+01, 12.1, 3.06469
2020/11/06 11:24 +0100, GMT+01, 12.1, 3.15306
2020/11/06 11:44 +0100, GMT+01, 12.2, 3.24204
2020/11/06 12:04 +0100, GMT+01, 12.3, 3.33195
2020/11/06 12:24 +0100, GMT+01, 12.4, 3.42276
2020/11/06 12:44 +0100, GMT+01, 12.5, 3.51448
2020/11/06 13:04 +0100, GMT+01, 12.6, 3.60709
2020/11/06 13:24 +0100, GMT+01, 12.7, 3.70057
2020/11/06 13:44 +0100, GMT+01, 12.8, 3.795
2020/11/06 14:04 +0100, GMT+01, 12.9, 3.8902
2020/11/06 14:24 +0100, GMT+01, 13, 3.98624
2020/11/06 14:44 +0100, GMT+01, 13, 4.08279
2020/11/06 15:04 +0100, GMT+01, 13.1, 4.17982
