time, timezone, temperature, strength
2020/10/14 13:34 +0200, GMT+02, 18.4, 
2020/10/14 13:46 +0200, GMT+02, 16, 
2020/10/14 14:06 +0200, GMT+02, 16.2, 
2020/10/14 14:26 +0200, GMT+02, 17.8, 
2020/10/14 14:46 +0200, GMT+02, 17.9, 
2020/10/14 15:06 +0200, GMT+02, 18, 
2020/10/14 15:26 +0200, GMT+02, 17.8, 
2020/10/14 15:46 +0200, GMT+02, 16.1, 
2020/10/14 16:06 +0200, GMT+02, 16.1, 
2020/10/14 16:26 +0200, GMT+02, 14.9, 
2020/10/14 16:46 +0200, GMT+02, 14.3, 
2020/10/14 17:06 +0200, GMT+02, 13.3, 0
2020/10/14 17:26 +0200, GMT+02, 13.4, 0
2020/10/14 17:46 +0200, GMT+02, 12.5, 0.00023
2020/10/14 18:06 +0200, GMT+02, 11, 0.00129
2020/10/14 18:26 +0200, GMT+02, 10.5, 0.00374
2020/10/14 18:46 +0200, GMT+02, 10.3, 0.00798
2020/10/14 19:06 +0200, GMT+02, 10.1, 0.01434
2020/10/14 19:26 +0200, GMT+02, 10.2, 0.02307
2020/10/14 19:46 +0200, GMT+02, 11.1, 0.03481
2020/10/14 20:06 +0200, GMT+02, 17.7, 0.05435
2020/10/14 20:26 +0200, GMT+02, 17.8, 0.08511
2020/10/14 20:46 +0200, GMT+02, 17.6, 0.12302
2020/10/14 21:06 +0200, GMT+02, 17.4, 0.16733
2020/10/14 21:26 +0200, GMT+02, 17.1, 0.21732
2020/10/14 21:46 +0200, GMT+02, 16.9, 0.27236
2020/10/14 22:06 +0200, GMT+02, 16.6, 0.33185
2020/10/14 22:26 +0200, GMT+02, 16.5, 0.39544
2020/10/14 22:46 +0200, GMT+02, 16.3, 0.46286
2020/10/14 23:06 +0200, GMT+02, 16.1, 0.53349
2020/10/14 23:26 +0200, GMT+02, 16, 0.60714
2020/10/14 23:46 +0200, GMT+02, 15.9, 0.68373
2020/10/15 00:06 +0200, GMT+02, 15.9, 0.76322
2020/10/15 00:26 +0200, GMT+02, 15.8, 0.84537
2020/10/15 00:46 +0200, GMT+02, 15.7, 0.92969
