time, timezone, temperature, strength
2020/09/23 17:12 +0200, GMT+02, 18.4, 0
2020/09/23 17:31 +0200, GMT+02, 17.3, 0.00002
2020/09/23 17:51 +0200, GMT+02, 17.4, 0.00078
2020/09/23 18:11 +0200, GMT+02, 17.5, 0.00442
2020/09/23 18:31 +0200, GMT+02, 17, 0.01286
2020/09/23 18:51 +0200, GMT+02, 16.8, 0.02702
2020/09/23 19:11 +0200, GMT+02, 15.5, 0.04655
2020/09/23 19:31 +0200, GMT+02, 24, 0.07909
2020/09/23 19:51 +0200, GMT+02, 23.8, 0.13243
2020/09/23 20:11 +0200, GMT+02, 23.6, 0.19859
2020/09/23 20:31 +0200, GMT+02, 23.4, 0.27622
2020/09/23 20:51 +0200, GMT+02, 23, 0.36348
2020/09/23 21:11 +0200, GMT+02, 22.9, 0.45919
2020/09/23 21:31 +0200, GMT+02, 22.5, 0.56213
2020/09/23 21:51 +0200, GMT+02, 22.3, 0.6709
2020/09/23 22:11 +0200, GMT+02, 22.1, 0.7851
2020/09/23 22:31 +0200, GMT+02, 21.8, 0.90359
2020/09/23 22:51 +0200, GMT+02, 21.6, 1.02563
2020/09/23 23:11 +0200, GMT+02, 21.6, 1.15159
2020/09/23 23:31 +0200, GMT+02, 21.3, 1.28071
2020/09/23 23:51 +0200, GMT+02, 21.1, 1.41162
2020/09/24 00:11 +0200, GMT+02, 21.1, 1.54505
2020/09/24 00:31 +0200, GMT+02, 21, 1.68103
2020/09/24 00:51 +0200, GMT+02, 21, 1.81925
2020/09/24 01:11 +0200, GMT+02, 21, 1.95986
2020/09/24 01:31 +0200, GMT+02, 21, 2.10261
2020/09/24 01:51 +0200, GMT+02, 20.9, 2.24691
2020/09/24 02:11 +0200, GMT+02, 21, 2.39297
2020/09/24 02:31 +0200, GMT+02, 20.9, 2.54061
2020/09/24 02:51 +0200, GMT+02, 20.9, 2.68927
2020/09/24 03:11 +0200, GMT+02, 20.9, 2.83921
2020/09/24 03:31 +0200, GMT+02, 20.9, 2.99029
2020/09/24 03:51 +0200, GMT+02, 20.8, 3.14198
2020/09/24 04:11 +0200, GMT+02, 20.8, 3.29417
2020/09/24 04:31 +0200, GMT+02, 20.6, 3.44633
2020/09/24 04:51 +0200, GMT+02, 20.6, 3.59835
2020/09/24 05:11 +0200, GMT+02, 20.5, 3.75057
2020/09/24 05:31 +0200, GMT+02, 20.3, 3.90207
2020/09/24 05:51 +0200, GMT+02, 20.1, 4.05235
2020/09/24 06:11 +0200, GMT+02, 20, 4.20177
2020/09/24 06:31 +0200, GMT+02, 19.9, 4.3508
2020/09/24 06:51 +0200, GMT+02, 19.7, 4.49872
2020/09/24 07:11 +0200, GMT+02, 19.5, 4.64521
2020/09/24 07:31 +0200, GMT+02, 19.4, 4.79063
2020/09/24 07:51 +0200, GMT+02, 19.1, 4.93453
2020/09/24 08:11 +0200, GMT+02, 19, 5.07689
2020/09/24 08:31 +0200, GMT+02, 18.8, 5.21809
