time, timezone, temperature, strength
2021/06/29 14:43 +0200, GMT+02, 15.9, 
2021/06/29 15:03 +0200, GMT+02, 14.3, 
2021/06/29 15:23 +0200, GMT+02, 17.1, 
2021/06/29 15:43 +0200, GMT+02, 23.3, 
2021/06/29 16:03 +0200, GMT+02, 23.3, 0
2021/06/29 16:23 +0200, GMT+02, 23, 0.00013
2021/06/29 16:43 +0200, GMT+02, 22.7, 0.00311
2021/06/29 17:03 +0200, GMT+02, 22.3, 0.01386
2021/06/29 17:23 +0200, GMT+02, 22, 0.03512
2021/06/29 17:43 +0200, GMT+02, 21.6, 0.06751
2021/06/29 18:03 +0200, GMT+02, 21.4, 0.11068
2021/06/29 18:23 +0200, GMT+02, 21.1, 0.16392
2021/06/29 18:43 +0200, GMT+02, 21, 0.22634
2021/06/29 19:03 +0200, GMT+02, 20.9, 0.29739
2021/06/29 19:23 +0200, GMT+02, 20.8, 0.37626
2021/06/29 19:43 +0200, GMT+02, 20.7, 0.46215
2021/06/29 20:03 +0200, GMT+02, 20.6, 0.55432
2021/06/29 20:23 +0200, GMT+02, 20.6, 0.65237
2021/06/29 20:43 +0200, GMT+02, 20.6, 0.75601
2021/06/29 21:03 +0200, GMT+02, 20.6, 0.86474
2021/06/29 21:23 +0200, GMT+02, 20.7, 0.97843
2021/06/29 21:43 +0200, GMT+02, 20.7, 1.09672
2021/06/29 22:03 +0200, GMT+02, 20.8, 1.21924
2021/06/29 22:23 +0200, GMT+02, 20.8, 1.34568
2021/06/29 22:43 +0200, GMT+02, 20.9, 1.47573
2021/06/29 23:03 +0200, GMT+02, 21, 1.60951
2021/06/29 23:23 +0200, GMT+02, 21.2, 1.74714
2021/06/29 23:43 +0200, GMT+02, 21.4, 1.88883
2021/06/30 00:03 +0200, GMT+02, 21.7, 2.0348
2021/06/30 00:23 +0200, GMT+02, 22, 2.18533
2021/06/30 00:43 +0200, GMT+02, 22.1, 2.3395
2021/06/30 01:03 +0200, GMT+02, 22.2, 2.49635
2021/06/30 01:23 +0200, GMT+02, 22.3, 2.6557
2021/06/30 01:43 +0200, GMT+02, 22.2, 2.81656
2021/06/30 02:03 +0200, GMT+02, 22.1, 2.97791
2021/06/30 02:23 +0200, GMT+02, 22.1, 3.14016
2021/06/30 02:43 +0200, GMT+02, 22, 3.30288
2021/06/30 03:03 +0200, GMT+02, 22, 3.46608
2021/06/30 03:23 +0200, GMT+02, 21.8, 3.62921
2021/06/30 03:43 +0200, GMT+02, 21.8, 3.79216
2021/06/30 04:03 +0200, GMT+02, 21.7, 3.95527
2021/06/30 04:23 +0200, GMT+02, 21.6, 4.118
2021/06/30 04:43 +0200, GMT+02, 21.5, 4.28028
2021/06/30 05:03 +0200, GMT+02, 21.4, 4.44204
2021/06/30 05:23 +0200, GMT+02, 21.3, 4.60321
2021/06/30 05:43 +0200, GMT+02, 21.1, 4.7633
2021/06/30 06:03 +0200, GMT+02, 21, 4.92226
2021/06/30 06:23 +0200, GMT+02, 20.8, 5.08005
2021/06/30 06:43 +0200, GMT+02, 20.8, 5.23704
2021/06/30 07:03 +0200, GMT+02, 20.7, 5.39363
2021/06/30 07:23 +0200, GMT+02, 20.6, 5.54936
2021/06/30 07:43 +0200, GMT+02, 20.5, 5.7042
2021/06/30 08:03 +0200, GMT+02, 20.5, 5.85853
2021/06/30 08:23 +0200, GMT+02, 20.4, 6.01235
2021/06/30 08:43 +0200, GMT+02, 20.4, 6.16562
2021/06/30 09:03 +0200, GMT+02, 20.3, 6.31831
2021/06/30 09:23 +0200, GMT+02, 20.1, 6.46959
2021/06/30 09:43 +0200, GMT+02, 20.1, 6.61983
2021/06/30 10:03 +0200, GMT+02, 20, 6.76946
2021/06/30 10:23 +0200, GMT+02, 19.9, 6.91817
