time, timezone, temperature, strength
2021/01/16 14:18 +0100, GMT+01, 10.4, 
2021/01/16 14:38 +0100, GMT+01, 11.6, 
2021/01/16 14:58 +0100, GMT+01, 11.7, 
2021/01/16 15:18 +0100, GMT+01, 11.8, 
2021/01/16 15:38 +0100, GMT+01, 11.8, 
2021/01/16 15:58 +0100, GMT+01, 11.8, 
2021/01/16 16:18 +0100, GMT+01, 11.8, 
2021/01/16 16:38 +0100, GMT+01, 11.9, 
2021/01/16 16:58 +0100, GMT+01, 12, 
2021/01/16 17:18 +0100, GMT+01, 12, 
2021/01/16 17:38 +0100, GMT+01, 12.1, 0
2021/01/16 17:58 +0100, GMT+01, 12.1, 0
2021/01/16 18:18 +0100, GMT+01, 12.2, 0
2021/01/16 18:38 +0100, GMT+01, 12.3, 0
2021/01/16 18:58 +0100, GMT+01, 12.3, 0
2021/01/16 19:18 +0100, GMT+01, 12.4, 0
2021/01/16 19:38 +0100, GMT+01, 12.5, 0.00001
2021/01/16 19:58 +0100, GMT+01, 12.6, 0.00008
2021/01/16 20:18 +0100, GMT+01, 12.8, 0.00038
2021/01/16 20:38 +0100, GMT+01, 12.9, 0.00125
2021/01/16 20:58 +0100, GMT+01, 13, 0.00332
2021/01/16 21:18 +0100, GMT+01, 13.2, 0.00751
2021/01/16 21:38 +0100, GMT+01, 13.4, 0.01502
2021/01/16 21:58 +0100, GMT+01, 13.6, 0.0273
2021/01/16 22:18 +0100, GMT+01, 13.8, 0.04594
2021/01/16 22:38 +0100, GMT+01, 14, 0.07263
2021/01/16 22:58 +0100, GMT+01, 14.2, 0.10904
2021/01/16 23:18 +0100, GMT+01, 14.4, 0.15677
2021/01/16 23:38 +0100, GMT+01, 14.6, 0.2173
2021/01/16 23:58 +0100, GMT+01, 14.9, 0.29224
2021/01/17 00:18 +0100, GMT+01, 15.1, 0.38286
2021/01/17 00:38 +0100, GMT+01, 15.4, 0.49029
2021/01/17 00:58 +0100, GMT+01, 15.6, 0.61543
2021/01/17 01:18 +0100, GMT+01, 15.9, 0.75903
2021/01/17 01:38 +0100, GMT+01, 16.1, 0.92162
2021/01/17 01:58 +0100, GMT+01, 16.4, 1.10357
2021/01/17 02:18 +0100, GMT+01, 16.6, 1.30509
2021/01/17 02:38 +0100, GMT+01, 16.8, 1.52553
2021/01/17 02:58 +0100, GMT+01, 17.1, 1.76539
2021/01/17 03:18 +0100, GMT+01, 17.3, 2.02449
2021/01/17 03:38 +0100, GMT+01, 17.4, 2.30081
2021/01/17 03:58 +0100, GMT+01, 17.5, 2.59279
2021/01/17 04:18 +0100, GMT+01, 17.6, 2.89962
2021/01/17 04:38 +0100, GMT+01, 17.6, 3.21974
2021/01/17 04:58 +0100, GMT+01, 17.6, 3.55068
2021/01/17 05:18 +0100, GMT+01, 17.5, 3.89065
2021/01/17 05:38 +0100, GMT+01, 17.5, 4.23861
2021/01/17 05:58 +0100, GMT+01, 17.3, 4.5925
2021/01/17 06:18 +0100, GMT+01, 17.3, 4.95136
2021/01/17 06:38 +0100, GMT+01, 17.1, 5.31428
2021/01/17 06:58 +0100, GMT+01, 17, 5.67933
2021/01/17 07:18 +0100, GMT+01, 17, 6.04799
2021/01/17 07:38 +0100, GMT+01, 16.8, 6.41846
2021/01/17 07:58 +0100, GMT+01, 16.6, 6.78787
2021/01/17 08:18 +0100, GMT+01, 16.5, 7.15674
