time, timezone, temperature, strength
2020/09/11 13:07 +0200, GMT+02, 21, 
2020/09/11 13:26 +0200, GMT+02, 25.1, 
2020/09/11 13:46 +0200, GMT+02, 25, 
2020/09/11 14:06 +0200, GMT+02, 24.5, 
2020/09/11 14:26 +0200, GMT+02, 24.5, 
2020/09/11 14:46 +0200, GMT+02, 24.3, 
2020/09/11 15:06 +0200, GMT+02, 24.3, 
2020/09/11 15:26 +0200, GMT+02, 24.5, 
2020/09/11 15:46 +0200, GMT+02, 24.3, 
2020/09/11 16:06 +0200, GMT+02, 24.3, 0
2020/09/11 16:26 +0200, GMT+02, 24.1, 0.00018
2020/09/11 16:46 +0200, GMT+02, 24, 0.0039
2020/09/11 17:06 +0200, GMT+02, 23.9, 0.01721
2020/09/11 17:26 +0200, GMT+02, 24, 0.0437
2020/09/11 17:46 +0200, GMT+02, 24.2, 0.08492
2020/09/11 18:06 +0200, GMT+02, 24.3, 0.14108
2020/09/11 18:26 +0200, GMT+02, 24.6, 0.21191
2020/09/11 18:46 +0200, GMT+02, 24.8, 0.29691
2020/09/11 19:06 +0200, GMT+02, 24.9, 0.39485
2020/09/11 19:26 +0200, GMT+02, 24.8, 0.50391
2020/09/11 19:46 +0200, GMT+02, 24.8, 0.62274
2020/09/11 20:06 +0200, GMT+02, 24.8, 0.75035
2020/09/11 20:26 +0200, GMT+02, 24.8, 0.88586
2020/09/11 20:46 +0200, GMT+02, 24.8, 1.02843
2020/09/11 21:06 +0200, GMT+02, 24.8, 1.17729
2020/09/11 21:26 +0200, GMT+02, 24.8, 1.33175
2020/09/11 21:46 +0200, GMT+02, 24.7, 1.4908
2020/09/11 22:06 +0200, GMT+02, 24.5, 1.65305
2020/09/11 22:26 +0200, GMT+02, 24.4, 1.81793
2020/09/11 22:46 +0200, GMT+02, 24.1, 1.98453
2020/09/11 23:06 +0200, GMT+02, 24, 2.1524
2020/09/11 23:26 +0200, GMT+02, 23.7, 2.32114
2020/09/11 23:46 +0200, GMT+02, 23.5, 2.48998
2020/09/12 00:06 +0200, GMT+02, 23.1, 2.65818
2020/09/12 00:26 +0200, GMT+02, 23, 2.82589
2020/09/12 00:46 +0200, GMT+02, 22.7, 2.99332
2020/09/12 01:06 +0200, GMT+02, 22.3, 3.15897
2020/09/12 01:26 +0200, GMT+02, 22.1, 3.32309
2020/09/12 01:46 +0200, GMT+02, 21.9, 3.4864
2020/09/12 02:06 +0200, GMT+02, 21.7, 3.64876
2020/09/12 02:26 +0200, GMT+02, 21.4, 3.80963
2020/09/12 02:46 +0200, GMT+02, 21, 3.9682
2020/09/12 03:06 +0200, GMT+02, 20.8, 4.12454
2020/09/12 03:26 +0200, GMT+02, 20.5, 4.27914
2020/09/12 03:46 +0200, GMT+02, 20.3, 4.43195
2020/09/12 04:06 +0200, GMT+02, 20, 4.58291
2020/09/12 04:26 +0200, GMT+02, 19.6, 4.73115
2020/09/12 04:46 +0200, GMT+02, 19.5, 4.87747
2020/09/12 05:06 +0200, GMT+02, 19.1, 5.02184
2020/09/12 05:26 +0200, GMT+02, 18.9, 5.16383
2020/09/12 05:46 +0200, GMT+02, 18.6, 5.30383
2020/09/12 06:06 +0200, GMT+02, 18.5, 5.44223
2020/09/12 06:26 +0200, GMT+02, 18.2, 5.57902
2020/09/12 06:46 +0200, GMT+02, 18, 5.71379
2020/09/12 07:06 +0200, GMT+02, 17.9, 5.84732
2020/09/12 07:26 +0200, GMT+02, 17.7, 5.9796
2020/09/12 07:46 +0200, GMT+02, 17.6, 6.11061
2020/09/12 08:06 +0200, GMT+02, 17.5, 6.24075
2020/09/12 08:26 +0200, GMT+02, 17.3, 6.36961
2020/09/12 08:46 +0200, GMT+02, 17.3, 6.49758
2020/09/12 09:06 +0200, GMT+02, 17.1, 6.62464
2020/09/12 09:26 +0200, GMT+02, 17.1, 6.75079
2020/09/12 09:46 +0200, GMT+02, 17.1, 6.87689
2020/09/12 10:06 +0200, GMT+02, 17.2, 7.0031
2020/09/12 10:26 +0200, GMT+02, 17.2, 7.12951
2020/09/12 10:46 +0200, GMT+02, 17.3, 7.25612
2020/09/12 11:06 +0200, GMT+02, 17.3, 7.38292
2020/09/12 11:26 +0200, GMT+02, 17.5, 7.51027
2020/09/12 11:46 +0200, GMT+02, 17.6, 7.63856
2020/09/12 12:06 +0200, GMT+02, 18, 7.76853
2020/09/12 12:26 +0200, GMT+02, 18.3, 7.90096
2020/09/12 12:46 +0200, GMT+02, 18.6, 8.03546
2020/09/12 13:06 +0200, GMT+02, 19, 8.17243
2020/09/12 13:26 +0200, GMT+02, 19.4, 8.31227
2020/09/12 13:46 +0200, GMT+02, 19.7, 8.45458
2020/09/12 14:06 +0200, GMT+02, 20, 8.59897
2020/09/12 14:26 +0200, GMT+02, 20.2, 8.74502
2020/09/12 14:46 +0200, GMT+02, 20.5, 8.89272
2020/09/12 15:06 +0200, GMT+02, 20.7, 9.04208
2020/09/12 15:26 +0200, GMT+02, 20.8, 9.19225
2020/09/12 15:46 +0200, GMT+02, 21, 9.34325
2020/09/12 16:06 +0200, GMT+02, 21.2, 9.49545
2020/09/12 16:26 +0200, GMT+02, 21.3, 9.64844
2020/09/12 16:46 +0200, GMT+02, 21.4, 9.80181
2020/09/12 17:06 +0200, GMT+02, 21.5, 9.95553
2020/09/12 17:26 +0200, GMT+02, 21.6, 10.10973
2020/09/12 17:46 +0200, GMT+02, 21.8, 10.26456
