time, timezone, temperature, strength
2020/10/16 14:12 +0200, GMT+02, 15.2, 
2020/10/16 14:25 +0200, GMT+02, 12.4, 
2020/10/16 14:45 +0200, GMT+02, 13.5, 
2020/10/16 15:05 +0200, GMT+02, 14.4, 
2020/10/16 15:25 +0200, GMT+02, 13.6, 
2020/10/16 15:45 +0200, GMT+02, 13.3, 
2020/10/16 16:05 +0200, GMT+02, 13, 
2020/10/16 16:25 +0200, GMT+02, 13, 
2020/10/16 16:45 +0200, GMT+02, 13, 
2020/10/16 17:05 +0200, GMT+02, 12.7, 0
2020/10/16 17:25 +0200, GMT+02, 12.4, 0
2020/10/16 17:45 +0200, GMT+02, 12.5, 0.00018
2020/10/16 18:05 +0200, GMT+02, 12.6, 0.00123
2020/10/16 18:25 +0200, GMT+02, 12.4, 0.00406
2020/10/16 18:45 +0200, GMT+02, 12.6, 0.00945
2020/10/16 19:05 +0200, GMT+02, 13, 0.01817
2020/10/16 19:25 +0200, GMT+02, 18.1, 0.03345
2020/10/16 19:45 +0200, GMT+02, 18.1, 0.05834
2020/10/16 20:05 +0200, GMT+02, 18.2, 0.09101
2020/10/16 20:25 +0200, GMT+02, 18.3, 0.13152
2020/10/16 20:45 +0200, GMT+02, 18.3, 0.17955
2020/10/16 21:05 +0200, GMT+02, 18.3, 0.2346
2020/10/16 21:25 +0200, GMT+02, 18.3, 0.29624
2020/10/16 21:45 +0200, GMT+02, 18.3, 0.36401
2020/10/16 22:05 +0200, GMT+02, 18.3, 0.43756
2020/10/16 22:25 +0200, GMT+02, 18.3, 0.51634
2020/10/16 22:45 +0200, GMT+02, 18.3, 0.60002
2020/10/16 23:05 +0200, GMT+02, 18.3, 0.68821
2020/10/16 23:25 +0200, GMT+02, 18.4, 0.78085
2020/10/16 23:45 +0200, GMT+02, 18.5, 0.87794
2020/10/17 00:05 +0200, GMT+02, 18.5, 0.97893
2020/10/17 00:25 +0200, GMT+02, 18.6, 1.08357
2020/10/17 00:45 +0200, GMT+02, 18.8, 1.19226
2020/10/17 01:05 +0200, GMT+02, 19, 1.30515
2020/10/17 01:25 +0200, GMT+02, 19.1, 1.42177
2020/10/17 01:45 +0200, GMT+02, 19.3, 1.54195
2020/10/17 02:05 +0200, GMT+02, 19.5, 1.66592
2020/10/17 02:25 +0200, GMT+02, 19.8, 1.7939
2020/10/17 02:45 +0200, GMT+02, 20, 1.92582
2020/10/17 03:05 +0200, GMT+02, 20.3, 2.06156
2020/10/17 03:25 +0200, GMT+02, 20.6, 2.20145
2020/10/17 03:45 +0200, GMT+02, 21, 2.34579
2020/10/17 04:05 +0200, GMT+02, 21.3, 2.49454
2020/10/17 04:25 +0200, GMT+02, 21.6, 2.64725
2020/10/17 04:45 +0200, GMT+02, 22.1, 2.80467
2020/10/17 05:05 +0200, GMT+02, 22.5, 2.96721
2020/10/17 05:25 +0200, GMT+02, 23, 3.13484
2020/10/17 05:45 +0200, GMT+02, 23.3, 3.3071
