time, timezone, temperature, strength
2020/10/09 11:06 +0200, GMT+02, 22.6, 
2020/10/09 11:25 +0200, GMT+02, 12, 
2020/10/09 11:45 +0200, GMT+02, 12.4, 
2020/10/09 12:05 +0200, GMT+02, 15.8, 
2020/10/09 12:25 +0200, GMT+02, 16.3, 
2020/10/09 12:45 +0200, GMT+02, 15.2, 
2020/10/09 13:05 +0200, GMT+02, 16.3, 
2020/10/09 13:25 +0200, GMT+02, 16.4, 
2020/10/09 13:45 +0200, GMT+02, 16, 
2020/10/09 14:05 +0200, GMT+02, 14.8, 
2020/10/09 14:25 +0200, GMT+02, 14.2, 
2020/10/09 14:45 +0200, GMT+02, 13.8, 
2020/10/09 15:05 +0200, GMT+02, 13.9, 
2020/10/09 15:25 +0200, GMT+02, 13.1, 
2020/10/09 15:45 +0200, GMT+02, 13, 
2020/10/09 16:05 +0200, GMT+02, 13.1, 
2020/10/09 16:25 +0200, GMT+02, 12.4, 
2020/10/09 16:45 +0200, GMT+02, 10.6, 
2020/10/09 17:05 +0200, GMT+02, 10.5, 
2020/10/09 17:25 +0200, GMT+02, 10, 
2020/10/09 17:45 +0200, GMT+02, 10, 
2020/10/09 18:05 +0200, GMT+02, 10.2, 
2020/10/09 18:25 +0200, GMT+02, 10.4, 
2020/10/09 18:45 +0200, GMT+02, 10.4, 
2020/10/09 19:05 +0200, GMT+02, 10.6, 
2020/10/09 19:25 +0200, GMT+02, 10.8, 
2020/10/09 19:45 +0200, GMT+02, 10.6, 
2020/10/09 20:05 +0200, GMT+02, 10.7, 
2020/10/09 20:25 +0200, GMT+02, 10.6, 
2020/10/09 20:45 +0200, GMT+02, 10.1, 
2020/10/09 21:05 +0200, GMT+02, 10, 
2020/10/09 21:25 +0200, GMT+02, 9.7, 
2020/10/09 21:45 +0200, GMT+02, 9.3, 
2020/10/09 22:05 +0200, GMT+02, 9.3, 
2020/10/09 22:25 +0200, GMT+02, 9, 
2020/10/09 22:45 +0200, GMT+02, 8.6, 
2020/10/09 23:05 +0200, GMT+02, 8.5, 
2020/10/09 23:25 +0200, GMT+02, 8.4, 
2020/10/09 23:45 +0200, GMT+02, 8, 
2020/10/10 00:05 +0200, GMT+02, 7.9, 
2020/10/10 00:25 +0200, GMT+02, 8, 
2020/10/10 00:45 +0200, GMT+02, 7.8, 
2020/10/10 01:05 +0200, GMT+02, 7.4, 
2020/10/10 01:25 +0200, GMT+02, 7.2, 
2020/10/10 01:45 +0200, GMT+02, 7.1, 
2020/10/10 02:05 +0200, GMT+02, 7, 
2020/10/10 02:25 +0200, GMT+02, 7, 
2020/10/10 02:45 +0200, GMT+02, 6.9, 
2020/10/10 03:05 +0200, GMT+02, 7, 
2020/10/10 03:25 +0200, GMT+02, 6.9, 
2020/10/10 03:45 +0200, GMT+02, 6.8, 
2020/10/10 04:05 +0200, GMT+02, 6.8, 
2020/10/10 04:25 +0200, GMT+02, 6.9, 
2020/10/10 04:45 +0200, GMT+02, 6.8, 
2020/10/10 05:05 +0200, GMT+02, 6.8, 
2020/10/10 05:25 +0200, GMT+02, 6.8, 
2020/10/10 05:45 +0200, GMT+02, 6.8, 
2020/10/10 06:05 +0200, GMT+02, 6.7, 
2020/10/10 06:25 +0200, GMT+02, 6.6, 
2020/10/10 06:45 +0200, GMT+02, 6.6, 
2020/10/10 07:05 +0200, GMT+02, 6.7, 
2020/10/10 07:25 +0200, GMT+02, 6.6, 
2020/10/10 07:45 +0200, GMT+02, 6.7, 
2020/10/10 08:05 +0200, GMT+02, 6.8, 
2020/10/10 08:25 +0200, GMT+02, 7, 
2020/10/10 08:45 +0200, GMT+02, 7.4, 
2020/10/10 09:05 +0200, GMT+02, 7.8, 
2020/10/10 09:25 +0200, GMT+02, 8, 
2020/10/10 09:45 +0200, GMT+02, 8.5, 
2020/10/10 10:05 +0200, GMT+02, 8.3, 
2020/10/10 10:25 +0200, GMT+02, 9.3, 
2020/10/10 10:45 +0200, GMT+02, 9.9, 
2020/10/10 11:05 +0200, GMT+02, 10.1, 
2020/10/10 11:25 +0200, GMT+02, 10.5, 
2020/10/10 11:45 +0200, GMT+02, 10.9, 
2020/10/10 12:05 +0200, GMT+02, 11, 
2020/10/10 12:25 +0200, GMT+02, 11.8, 
2020/10/10 12:45 +0200, GMT+02, 12.3, 
2020/10/10 13:05 +0200, GMT+02, 13, 
2020/10/10 13:25 +0200, GMT+02, 12.9, 
2020/10/10 13:45 +0200, GMT+02, 12.9, 
2020/10/10 14:05 +0200, GMT+02, 12.6, 
2020/10/10 14:25 +0200, GMT+02, 12.6, 
2020/10/10 14:45 +0200, GMT+02, 12.8, 
2020/10/10 15:05 +0200, GMT+02, 12.8, 
2020/10/10 15:25 +0200, GMT+02, 13, 
2020/10/10 15:45 +0200, GMT+02, 13.3, 
2020/10/10 16:05 +0200, GMT+02, 13.4, 
2020/10/10 16:25 +0200, GMT+02, 13.9, 
2020/10/10 16:45 +0200, GMT+02, 13.6, 
2020/10/10 17:05 +0200, GMT+02, 13.7, 
2020/10/10 17:25 +0200, GMT+02, 13.3, 
2020/10/10 17:45 +0200, GMT+02, 13.1, 
2020/10/10 18:05 +0200, GMT+02, 13.1, 
2020/10/10 18:25 +0200, GMT+02, 13.1, 
2020/10/10 18:45 +0200, GMT+02, 12.5, 
2020/10/10 19:05 +0200, GMT+02, 12.1, 
2020/10/10 19:25 +0200, GMT+02, 11.9, 
2020/10/10 19:45 +0200, GMT+02, 11.6, 
2020/10/10 20:05 +0200, GMT+02, 11.3, 
2020/10/10 20:25 +0200, GMT+02, 11.1, 
2020/10/10 20:45 +0200, GMT+02, 11, 
2020/10/10 21:05 +0200, GMT+02, 11, 
2020/10/10 21:25 +0200, GMT+02, 10.6, 
2020/10/10 21:45 +0200, GMT+02, 10.3, 
2020/10/10 22:05 +0200, GMT+02, 10.3, 
2020/10/10 22:25 +0200, GMT+02, 10, 
2020/10/10 22:45 +0200, GMT+02, 9.9, 
2020/10/10 23:05 +0200, GMT+02, 9.5, 
